,Crude Oil,Crude Oil,Crude Oil,Crude Oil,Crude Oil,Crude Oil,Crude Oil,Natural Gas Liquids,Bitumen,Synthetic Oil,
,United States,Canada/ Other,,,Australia/,,,,Canada/ Other,Canada/ Other,
,,,Europe,Africa,Asia,Oceania (millions of barrels),,,,,Total
Net proved developed and undeveloped reserves of,,,,,,,,,,,
"consolidated subsidiaries January 1,2018","2,695",410,119,729,"3,496",110,"7,559","1,258","1,012",473,"10,302"
Revisions,61,28,63,(9),4,6,153,(16),"3,286",15,"3,438"
Improved recovery,,,23,13,,,36,,,,36
Purchases,8,,,,,,8,2,,,10
Sales,(11),,(2),,,,(13),(13),,,(26)
Extensions/discoveries,595,113,,9,3,,720,238,,,958
Production,(144),(22),(37),(138),(146),(11),(498),(65),(113),(22),(698)
"December 31,2018","3,204",529,166,604,"3,357",105,"7,965","1,404","4,185",466,"14,020"
Attributable to noncontrolling interests,,44,,,,,,4,962,142,
Proportional interest in proved,,,,,,,,,,,
"reserves of equity companies January 1,2018",,,,,,,,,,,
Revisions,245,,15,6,"1,097 6",,"1,363",364,,,"1,727 36"
Improved recovery,28,,1,,,,35,1,,,
Purchases,,,,,,,,,,,
Sales,,,,,,,,,,,1
Extensions/discoveries Production,1,,,,,,1,,,,
"December 31,2018",(20),,(1) 15,,(83),,(104),(23),,,"(127) 1,637"
"Total liquids proved reserves at December 31,2018","254 3,458",529,181,6 610,"1,020 4,377",105,"1,295",342,"4,185",,"15,657"
Net proved developed and,,,,,,,,,,,
undeveloped reserves of consolidated subsidiaries,,,,,,,,,,,
"January 1,2019 Revisions","3,204",529,166,604,"3,357 136",105,"7,965","1,404","4,185","46614,020",
Improved recovery,(677),(66),20,(25),,,(612),(305),(213),"(27) (1,157)",
Purchases,20,,,,,,20,12,,,32
Sales,,,,,,,,,,,(145)
,(1),,(117),,,,(118),(27),,,
Extensions/discoveries,710,125,,,,,835,263,,,"1,098"
Production,(168),(31),(30),(132),(158),(11),(530),(72),(114),(24),"(740) 13,108"
"December 31,2019 Attributable to noncontrolling interests",3.088,557 21,39,447,"3,335",94,"7,560","1,275 3","3,858 894",415 126,
Proportional interest in proved,,,,,,,,,,,
reserves of equity companies,,,,,,,,,,,"1,637"
"January 1,2019 Revisions",254 15,,15,6,"1,020 (38)",,"1,295 (23)",342 3,,,
,,,,,,,,Synthetic Bitumen,Synthetic Bitumen,Synthetic Bitumen,
United,Canada/ Other,,Crude Oil,,,Australia/,,Liquids,Canada/ Other,Oil Canada/ Other,
States,Americas,,Europe,Africa,Asia,Oceania (millions of barrels),Total,Worldwide,Americas,Americas,Total
Net proved developed and,,,,,,,,,,,
undeveloped reserves of consolidated subsidiaries,,,,,,,,,,,
"January 1,2020 Revisions","3,088 (1,139)",557 (14),39 (9),447 19,"3,335 (20)",,"947,560 (10) (1,173)","1,275 (209)","3,858 (3,653)",415 (79),"13,108 (5,114)"
Improved recovery,,,,,,,,,,,
Purchases,,,,,,,,,,,
Sales,(1),(2),,,,,(3),(3),,,(6)
Extensions/discoveries,187,1,,,,,188,65,1,133,387
Production,(176),(45),(8),(110),(165),(10),(514),(74),(125),(25),(738)
"December 31, 2020","1,959",497,22,356,"3,150",74,"6,058","1,054",81,444,"7,637"
Attributable to noncontrolling interests,,7,,,,,,1,25,135,
Proportional interest in proved reserves of equity companies,,,,,,,,,,,
"January 1, 2020",251,,14,6,897,,"1,168",322,,,"1,490"
Revisions,(102),,(4),,4,,(102),(22),,,(124)
Improved recovery,,,,,,,,,,,
Purchases,,,,,,,,,,,
Sales,,,,,,,,,,,
Extensions/discoveries,,,,,,,,,,,
Production,(18),,(1),,(76),,(95),(23),,,(118)
"December 31, 2020",131,,9,6,825,,971,277,,,"1,248"
"Total liquids proved reserves at December 31,2020","2,090",497,31,362,"3,975",74,"7,029","1,331",81,444,"8,885"
