Consolidated and Equity Interests (continued),2020,2020,2020
,Consolidated Subsidiaries,Share of Equity Method Investees,Total Consolidated and Equity Interests
,,(millions of dollars),
"Discounted future net cash flows as of December 31,2019","67,500","22,416","89,916"
"Value of reserves added during the year due to extensions, discoveries, improved recovery and net purchases/sales less related costs",169,,169
"Changes in value of previous-year reserves due to: Sales and transfers of oil and gas produced during the year, net of",,,
production (lifting) costs,"(15,048)","(3,818)","(18,866)"
Development costs incurred during the year,"9,969","1,760","11,729"
"Net change in prices, lifting and development costs","(80,444)","(21,739)","(102,183)"
Revisions of previous reserves estimates,"2,614",680,"3,294"
Accretion of discount,"10,786","3,011","13,797"
Net change in income taxes,"31,008","6,131","37,139"
Total change in the standardized measure during the year,"(40,946)","(13,975)","(54,921)"
"Discounted future net cash flows as of December 31, 2020","26,554","8,441","34,995"
