FUNCTIONAL EARNINGS,2020,2019,2018
Earnings (Loss) (U.S. GAAP),,,
Upstream,United States,536,"1739,"
,Non-U.S.,13906,"12340,"
Downstream,United States,-852,"1717,2962,"
,Non-U.S.,-225,"606,3048,"
Chemical,United States,1277,"206,1642,"
,Non-U.S.,686,"386,1709,"
Corporate and financing,-3296,-3017,"-2600,"
Net income (loss) attributable to ExxonMobil (U.S. GAAP),-22440,14340,"20840,"
Earnings (Loss) per common share,-5.25,3.36,"4.88,"
Earnings (Loss) per common share - assuming dilution,-5.25,3.36,"4.88,"
