United States,Canada/Other Americas,Europe,Africa,Asia,Australia/Oceania,Total,Oil-Equivalent Total All Products (1)
"19,033","1,372","1,368",595,"4,340","6,894","33,602","15,903"
Revisions,(98),(29),306,38,(147),"1,065","1,135,3,626"
Improved recovery,—,—,—,—,—,—,"—,36"
Purchases,104,—,—,—,—,—,"104,27"
Sales,(264),(3),(4),—,—,—,"(271),(71)"
Extensions/discoveries,"3,658",506,3,—,1,7,"4,175,1,654"
Production,"(1,030)",(102),(361),(45),(353),(504),"(2,395),(1,097)"
"December 31, 2018","21,403","1,744","1,312",588,"3,841","7,462","36,350,20,078"
Attributable to noncontrolling interests,334,,,,,,
Proportional interest in proved reserves of equity companies,,,,,,,
"January 1, 2018",223,—,"6,164",914,"14,248",—,"21,549,5,318"
Attributable to noncontrolling interests    334,,,,,,,
January 1,2018    223    —    6,164    914    14,248    —    21,549    5,318,,
Revisions    12    —    (4,801)    (51)    102    —    (4,738)    (753),,,,,
Improved recovery    —    —    —    —    —    —    —    —,,,,,,,
Purchases    —    —    —    —    —    —    —    —,,,,,,,
Sales    —    —    (38)    —    —    —    (38)    (6),,,,,,,
Extensions/discoveries    2    —    —    —    —    —    2    1,,,,,,,
Production    (12)    —    (268)    —    (1,029)    —    (1,309)    (345),,,,,
December 31,2018    225    —    1,057    863    13,321    —    15,466    4,215,,
Total proved reserves at December 31,2018    21,628    1,744    2,369    1,451    17,162    7,"462    51,816    24,293"
Net proved developed and undeveloped reserves of consolidated subsidiaries,,,,,,,
January 1,2019    21,403    1,744    1,312    588    3,841    7,462    36,"350    20,078"
Revisions    (3,213)    (301)    41    (171)    953    39    (2,652)    (1,599),,,,
Purchases    85    —    —    —    —    —    85    47,,,,,,,
Sales    (297)    (29)    (416)    —    —    —    (742)    (269),,,,,,,
Extensions/discoveries    2,151    166    —    —    —    —    2,317    1,484,,,,
Year Ending December 31,2019   (000)   (000)   (000)   (000)   (000)   (000)   (000),,,,,,
Improved recovery,,,,,,,
Purchases,,,,,,,
Sales,,,,,,,
Extensions/discoveries,,,,,,,
Production,,,,,,,
December 31,2019,,,,,,
Attributable to noncontrolling interests,,,,,,,
January 1,2019,,,,,,
Revisions,,,,,,,
Total proved reserves at December 31,2019,,,,,,
