2020,Crude Oil,NGL,Crude Oil,NGL,Crude Oil,NGL
Consolidated Subsidiaries,,,,,,
United States,481,154,461,131,395,101
Canada/Other Americas (1),121,5,87,4,62,6
Europe,22,5,84,21,101,27
Africa,301,11,360,12,377,10
Asia,449,23,432,22,398,25
Australia/Oceania,29,15,30,15,31,16
Total Consolidated Subsidiaries,"1,403",213,"1,454",205,"1,364",185
Equity Companies,,,,,,
United States,49,1,52,2,54,1
Europe,3,—,3,—,4,—
Asia,208,62,232,62,226,62
Total Equity Companies,260,63,287,64,284,63
Total crude oil and natural gas liquids production,"1,663",276,"1,741",269,"1,648",248
Bitumen production,,,,,,
Consolidated Subsidiaries,,,,,,
Canada/Other Americas,342,311,311,,,
Synthetic oil production,,,,,,
Consolidated Subsidiaries,,,,,,
Canada/Other Americas,68,65,60,,,
Total liquids production,"2,349","2,386","2,266",,,
Natural gas production available for sale,,,,,,
Consolidated Subsidiaries,,,,,,
United States,"2,668","2,756","2,550",,,
Canada/Other Americas (1),277,258,227,,,
Europe,447,808,925,,,
Africa,9,7,13,,,
Asia,872,851,838,,,
Australia/Oceania,"1,219","1,319","1,325",,,
Total Consolidated Subsidiaries,"5,492","5,999","5,878",,,
Equity Companies,,,,,,
United States,23,22,24,,,
Europe,342,649,728,,,
Asia,"2,614","2,724","2,775",,,
Total Equity Companies,"2,979","3,395","3,527",,,
Total natural gas production available for sale,"8,471","9,394","9,405",,,
Oil-equivalent production,"3,761","3,952","3,833",,,
