Total property costs,"9,692",86,"1,154","3,152","3,357","60,212"
United States\tCanada/Other Americas\tEurope\tAfrica\tAsia\tAustralia/Oceania\tTotal,,,,,,
Consolidated Subsidiaries,,,,,,
As of December 31,2020,,,,,
Property (acreage) costs – Proved\t18,059\t2,151\t51\t1,332\t2,979\t771\t25,343,
Property (acreage) costs – Unproved\t23,255\t7,352\t37\t213\t181\t2,642\t33,680,,
Total property costs\t41,314\t9,503\t88\t1,545\t3,160\t3,413\t59,023
Producing assets\t104,650\t52,552\t20,286\t55,556\t43,394\t15,"348\t291,786"
Incomplete construction\t5,549\t4,590\t1,446\t1,975\t3,050\t1,"972\t18,582"
Total capitalized costs\t151,513\t66,645\t21,820\t59,076\t49,604\t20,"733\t369,391"
Accumulated depreciation and depletion\t89,401\t26,635\t19,193\t46,567\t24,701\t8,"628\t215,125"
Net capitalized costs for consolidated subsidiaries\t62,112\t40,010\t2,627\t12,509\t24,903\t12,"105\t154,266"
Equity Companies,,,,,,
Property (acreage) costs – Proved\t98\t\t4\t286\t\t388,,,,,,
Property (acreage) costs - Proved 98 4 286 388,,,,,,
Property (acreage) costs - Unproved 4 3,134 3,138,,,,
Total property costs 102 4 3,420 3,526,,,,
Producing assets 6,975 5,932 8,547 21,454,,
Incomplete construction 138 34 721 10,527 11,420,,,,
Total capitalized costs 7,215 5,970 4,141 19,074 36,400,
Accumulated depreciation and depletion 3,854 5,462 5,911 15,227,,
Net capitalized costs for equity companies 3,361 508 4,141 13,163 21,173,,
As of December 31,2019,,,,,
Property (acreage) costs - Proved 19,046 2,579 49 988 2,971 719 26,352,,
Property (acreage) costs - Unproved 23,725 7,113 37 166 181 2,638 33,860,,
Total property costs 42,771 9,692 86 1,154 3,152 3,357 60,212
Producing assets 99,405 49,942 18,982 55,436 41,181 13,"670 278,616"
Incomplete construction 6,086 4,315 1,514 2,717 4,299 1,"811 20,742"
Total capitalized costs 148,262 63,949 20,582 59,307 48,632 18,"838 359,570"
Producing assets,"49,942","18,982","55,436","41,181","13,670","278,616"
Incomplete construction,"4,315","1,514","2,717","4,299","1,811","20,742"
Total capitalized costs,"63,949","20,582","59,307","48,632","18,838","359,570"
Accumulated depreciation and depletion,"21,533","17,544","43,743","22,497","7,235","175,885"
Net capitalized costs for consolidated subsidiaries,"42,416","3,038","15,564","26,135","11,603","183,685"
Property (acreage) costs,99,4,308,411,,
,6,"3,112","3,118",,,
Total property costs,105,4,"3,420","3,529",,
Producing assets,"6,825","5,413","7,731","19,969",,
Incomplete construction,212,19,650,"9,581","10,462",
Total capitalized costs,"7,142","5,436","4,070","17,312","33,960",
Accumulated depreciation and depletion,"3,288","4,778","5,380","13,446",,
Net capitalized costs for equity companies,"3,854",658,"4,070","11,932","20,514",
