Consolidated and Equity Interests,2018,2018,2018
,Consolidated Subsidiaries,Share of Equity Method Investees,Total Consolidated and Equity Interests
,,(millions of dollars),
"Discounted future net cash flows as of December 31,2017","65,201","25,003","90,204"
"Value of reserves added during the year due to extensions, discoveries, improved recovery and net purchases/sales less related costs Changes in value of previous-year reserves due to:","9,472",(134),"9,338"
"Sales and transfers of oil and gas produced during the year, net of production (lifting) costs","(31,706)","(9,956)","(41,662)"
Development costs incurred during the year,"11,500","2,762","14,262"
"Net change in prices, lifting and development costs","56,798","23,582","80,380"
Revisions of previous reserves estimates,"14,515","(2,091)","12,424"
Accretion of discount,"8,793","3,043","11,836"
Net change in income taxes,"(28,469)","(4,637)","(33,106)"
Total change in the standardized measure during the year,"40,903","12,569","53,472"
"Discounted future net cash flows as of December 31, 2018","106,104","37,572","143,676"
