,Accumulated Other,Accumulated Other,Accumulated Other,Common Stock Held in Treasury,ExxonMobil Share of,Non- controlling Interests,Total Equity
,Common Stock,Earnings Reinvested,Comprehensive Income,Common Stock Held in Treasury,ExxonMobil Share of,Non- controlling Interests,Total Equity
,,,,(millions of dollars),Equity,,
"Balance as of December 31,2017","14,656","414,540","(16,262)","(225,246)","187,688","6,812","194,500"
Amortization of stock-based awards,758,一,,,758,一,758
Other,(156),一,,,(156),436,280
Net income (loss) for the year,,"20,840",,,"20,840",581,"21,421"
Dividends-common shares,,"(13,798)",,,"(13,798)",(243),"(14,041)"
Cumulative effect of accounting change,,71,(39),,32,15,47
Other comprehensive income,,,"(3,263)",,"(3,263)",(407),"(3,670)"
"Acquisitions,at cost",,,,(626),(626),(460),"(1,086)"
Dispositions,,,,319,319,,319
"Balance as of December 31,2018","15,258","421,653","(19,564)","(225,553)","191,794","6,734","198,528"
Amortization of stock-based awards,697,,,,697,,697
Other,(318),,,,(318),489,171
Net income (loss) for the year,一,"14,340",,,"14,340",434,"14,774"
Dividends -common shares,,"(14,652)",,,"(14,652)",(192),"(14,844)"
Other comprehensive income,,一,71,,71,154,225
"Acquisitions, at cost",,,,(594),(594),(331),(925)
Dispositions,,,,312,312,,312
"Balance as of December 31,2019","15,637","421,341","(19,493)","(225,835)","191,650","7,288","198,938"
Amortization of stock-based awards,696,一,,,696,1,696
Other,(645),一,,,(645),692,47
Net income (loss) for the year,,"(22,440)",,,"(22,440)",(811),"(23,251)"
Dividends -common shares,,"(14,865)",,,"(14,865)",(188),"(15,053)"
Cumulative effect of accounting change,,(93),一,,(93),(1),(94)
Other comprehensive income,,,"2,788",,"2,788",68,"2,856"
"Acquisitions,at cost",,,,(405),(405),(68),(473)
Dispositions,,,,464,464,,464
"Balance as of December 31,2020","15,688","383,943","(16,705)","(225,776)","157,150","6,980","164,130"
