Future development costs\t10,991\t4,244\t6,223\t13,432\t7,580\t70,138
tsv,,,,,,
Standardized Measure of Discounted Future Cash Flows (continued),United States,Canada/Other Americas (1),Europe,Africa,Asia,"Australia/Oceania,Total"
Consolidated Subsidiaries,,,,,,
"As of December 31, 2019",,,,,,
Future cash inflows from sales of oil and gas,"208,981","190,604","5,789","30,194","215,837","43,599,695,004"
Future production costs,"90,448","133,606","3,209","10,177","58,255","12,980,308,675"
Future development costs,"53,641","31,158","4,397","6,756","14,113","8,109,118,174"
Future income tax expenses,"12,530","5,888",(594),"5,374","108,316","5,158,136,672"
Future net cash flows,"52,362","19,952","(1,223)","7,887","35,153","17,352,131,483"
Effect of discounting net cash flows at 10%,"30,499","7,728","(1,265)",872,"18,658","7,491,63,983"
Discounted future net cash flows,"21,863","12,224",42,"7,015","16,495","9,861,67,500"
Equity Companies,,,,,,
Future cash inflows from sales of oil and gas,"15,729","3,194","2,509","115,451","136,883",
Future production costs,"6,848","1,302",246,"48,259","56,655",
Future development costs,"3,681","1,182",247,"11,463","16,573",
Future income tax expenses,346,555,"17,891","18,792",,
Future net cash flows,"5,200",364,"1,461","37,838","44,863",
Effect of discounting net cash flows at 10%,"2,721",41,"1,112","18,573","22,447",
Discounted future net cash flows,"2,479",323,349,"19,265","22,416",
Total consolidated and equity interests in standardized measure of discounted future net cash flows,"24,342","12,224",365,"7,364","35,760","9,861,89,916"
"As of December 31, 2020",,,,,,
Future cash inflows from sales of oil and gas,"93,520","38,193","2,734","15,411","138,080","19,794,307,732"
Future production costs,"53,635","19,971","1,815","6,527","42,378","3,188,127,514"
Future development costs,"27,668","10,991","4,244","6,223","13,432","7,580,70,138"
Future income tax expenses,"(2,509)",851,"(1,121)",916,"62,223","1,381,61,741"
Future net cash flows,"14,726","6,380","(2,204)","1,745","20,047","7,645,48,339"
Effect of discounting net cash flows at 10%,"8,564","1,116","(1,565)",(511),"10,557","3,624,21,785"
Future income tax expenses\t\t\t\t\t\t,,,,,,
Future net cash flows\t\t\t\t\t\t,,,,,,
Effect of discounting net cash flows at 10%\t\t\t\t\t\t,,,,,,
Discounted future net cash flows\t\t\t\t\t\t,,,,,,
Equity Companies\t\t\t\t\t\t,,,,,,
As of December 31,2020\t\t\t\t\t\t,,,,,
Future cash inflows from sales of oil and gas\t5,304\t\t1,511\t740\t63,105\t\t70,660,,
Future production costs\t3,467\t\t694\t247\t29,170\t\t33,578,,,
Future development costs\t2,243\t\t1,054\t163\t9,929\t\t13,389,,
Total consolidated and equity interests in standardized measure of discounted future net cash flows\t6,134\t5,264\t(675)\t2,286\t17,965\t4,021\t34,995
