At December 31, 2019
"At December 31, 2020",
(millions of dollars),
Level 1,"Level 2,Level 3,Total Gross Assets & Liabilities,Effect of Counterparty Netting,Effect of Collateral Netting,Difference in Carrying Value and Fair Value,Net Carrying Value"
Assets,
Derivative assets (1),"1,247,194,—,1,441,(1,282),(6),—,153"
Advances to/receivables from equity companies (2)(6),"—,3,275,5,904,9,179,—,—,(367),8,812"
Other long-term financial assets (3),"1,235,—,944,2,179,—,—,125,2,304"
Liabilities,
Derivative liabilities (4),"1,443,254,—,1,697,(1,282),(202),—,213"
Long-term debt (5),"50,263,125,4,50,392,—,—,(4,890),45,502"
Long-term obligations to equity companies (6),"—,—,3,530,3,530,—,—,(277),3,253"
Other long-term financial liabilities (7),"—,—,964,964,—,—,44,1,008"
"At December 31, 2019",
Level 1 Level 2 Level 3 Total Gross Assets & Liabilities Effect of Counterparty Netting Effect of Collateral Netting Difference in Carrying Value and Fair Value Net Carrying Value,
Derivative assets (1) 533 102 — 635 (463) (70) — 102,
Advances to/receivables from equity companies (2)(6) — 1,"941 6,729 8,670 — — — (128) 8,542"
Other long-term financial assets (3) 1,"145 — 974 2,119 — — 44 2,163"
Derivative liabilities (4) 568 70 — 638 (463) (105) — 70,
Long-term debt (5) 25,"652 134 3 25,789 — — (1,117) 24,672"
Long-term obligations to equity companies (6) — — 4,"245 4,245 — — (257) 3,988"
Other long-term financial liabilities (7) — — 1,"042 1,042 — — 16 1,058"
