,Average Rate (1),"Dec 31, 2020","Dec 31, 2019"
,,(millions of dollars),
Exxon Mobil Corporation (2),,,
2.222% notes due 2021,,,"2,500"
2.397% notes due 2022,,"1,150","1,150"
1.902% notes due 2022 Floating-rate notes due 2022 (Issued 2015),1.118%,750,750
,1.189%,500,500
Floating-rate notes due 2022 (Issued 2019) 1.571% notes due 2023,,750,750
2.726% notes due 2023,,"2,750",一
3.176% notes due 2024,,"1,250","1,250"
2.019% notes due 2024,,"1,000","1,000"
,,"1,000","1,000"
2.709% notes due 2025 2.992% notes due 2025,,"1,750","1,750"
3.043% notes due 2026,,"2,807",丨
2.275% notes due 2026,,"2,500","2,500"
3.294% notes due 2027,,"1,000","1,000"
2.440% notes due 2029,,"1,000",
3.482% notes due 2030,,"1,250","1,250"
2.610% notes due 2030,,"2,000",丨
2.995% notes due 2039,,"2,000",丨
4.227% notes due 2040,,750,750
3.567% notes due 2045,,"2,091",一
4.114% notes due 2046,,"1,000","1,000"
3.095% notes due 2049,,"2,500","2,500"
4.327% notes due 2050,,"1,500","1,500"
,,"2,750",
3.452% notes due 2051,,"2,750",
Exxon Mobil Corporation - Euro-denominated 0.142% notes due 2024,,,
,,"1,841",
0.524% notes due 2028 0.835% notes due 2032,,"1,227",
,,"1,227",
1.408% notes due 2039,,"1,227",
XTO Energy Inc. (3),,,
6.100% senior notes due 2036,,192,193
6.750% senior notes due 2037,,294,296
6.375% senior notes due 2038,,227,229
Mobil Corporation,,,
8.625% debentures due 2021,,,250
Industrial revenue bonds due 2022-2051,0.437%,"2,461","2,461"
Other U.S.dollar obligations,,78,89
Other foreign currency obligations,,61,64
Finance lease obligations,8.730%,"1,680","1,670"
Debt issuance costs,,(131),(60)
Total long-term debt,,"47,182","26,342"
