Consolidated and Equity Interests,Consolidated Subsidiaries,Share of Equity Method Investees,Total Consolidated and Equity Interests
"Discounted future net cash flows as of December 31, 2017",65201,25003,90204
"Value of reserves added during the year due to extensions, discoveries, improved recovery and net purchases/sales less related costs",9472,-134,9338
Changes in value of previous-year reserves due to:,,,
"Sales and transfers of oil and gas produced during the year, net of production (lifting) costs",-31706,-9956,-41662
Development costs incurred during the year,11500,2762,14262
"Net change in prices, lifting and development costs",56798,23582,80380
Revisions of previous reserves estimates,14515,-2091,12424
Accretion of discount,8793,3043,11836
Net change in income taxes,-28469,-4637,-33106
Total change in the standardized measure during the year,40903,12569,53472
"Discounted future net cash flows as of December 31, 2018",106104,37572,143676
