,United,Canada/ Other,Canada/ Other,Canada/ Other,Australia/,Australia/,Australia/
,States,Americas,Europe,Africa,Asia,Oceania,Total
During 2020,,,,(dollars per unit),,,
Consolidated Subsidiaries,,,,,,,
Average production prices,34.97,37.26,41.39,42.27,39.39,36.67,38.31
"Crude oil, per barrel",13.83,10.34,20.11,21.32,21.37,27.92,16.05
"NGL, per barrel",0.98,1.56,3.13,1.24,1.49,4.34,2.01
"Natural gas, per thousand cubic feet",,17.71,,,,,17.71
"Bitumen,per barrel Synthetic oil, per barrel",,37.32,,,,,37.32
"Average production costs, per oil-equivalent barrel - total",9.82,18.40,21.22,16.67,6.50,5.35,11.57
"Average production costs,per barrel - bitumen",,19.22,,,,,19.22
"Average production costs, per barrel - synthetic oil",,33.61,,,,,33.61
Equity Companies,,,,,,,
Average production prices,,,,,,,
"Crude oil, per barrel",39.10,,38.95,,35.18,,35.97
"NGL, per barrel",11.05,,,,30.02,,29.58
"Natural gas, per thousand cubic feet",1.19,,3.85,,3.14,,3.20
"Average production costs,per oil-equivalent barrel - total",27.39,,30.74,,1.63,,5.49
Total,,,,,,,
Average production prices,,,,,,,
"Crude oil, per barrel",35.35,37.26,41.11,42.27,38.07,36.67,37.95
"NGL,per barrel",13.80,10.34,20.11,21.32,27.65,27.92,19.16
"Natural gas,per thousand cubic feet",0.98,1.56,3.44,1.24,2.72,4.34,2.43
"Bitumen, per barrel",,17.71,,,,一,17.71
"Synthetic oil,perbarrel",,37.32,,,,,37.32
"Average production costs, per oil-equivalent barrel - total",10.66,18.40,24.76,16.73,3.91,5.35,10.24
"Average production costs, per barrel - bitumen",,19.22,,,,,19.22
"Average production costs, per barrel - synthetic oil",,33.61,,,,,33.61
During 2019 Consolidated Subsidiaries,,,,,,,
Average production prices,,,,,,,
"Crude oil, per barrel",54.41,59.39,63.59,65.64,64.14,61.08,61.04
"NGL, per barrel",18.94,16.59,30.56,41.41,24.64,30.55,22.85
"Natural gas, per thousand cubic feet",1.54,1.44,4.50,1.49,2.07,6.26,3.05
"Bitumen, per barrel",,36.25,,,一,一,36.25
"Synthetic oil,per barrel",,56.18,,,,,56.18
"Average production costs,per oil-equivalent barrel - total",12.25,23.41,13.69,17.51,7.34,,13.43
"Average production costs,per barrel - bitumen",,,,,,6.60,
"Average production costs,per barrel - synthetic oil",,24.18,,,,,24.18
,,40.38,,,,,40.38
Equity Companies,,,,,,,
Average production prices,60.95,,58.72,,58.74,,59.15
"Crude oil, per barrel NGL,per barrel",15.63,,,,36.28,,35.76
"Natural gas,per thousand cubic feet",1.75,,5.01,,5.24,,5.17
"Average production costs, per oil-equivalent barrel - total",28.17,,14.04,,2.03,,5.16
Total,,,,,,,
Average production prices,,,,,,,
"Crude oil, per barrel",55.08,59.39,63.41,65.64,62.27,61.08,60.73
"NGL, per barrel",18.90,16.59,30.56,41.41,33.23,30.55,25.89
"Natural gas, per thousand cubic feet",1.54,1.44,4.73,1.49,,,
,Canada/,Canada/,Canada/,Canada/,Canada/,Australia/ Oceania,Total
,United States,Other Americas,Europe,Africa,Asia,Australia/ Oceania,Total
During 2018,During 2018,During 2018,During 2018,During 2018,During 2018,During 2018,During 2018
Consolidated Subsidiaries,(dollars per unit),(dollars per unit),(dollars per unit),(dollars per unit),(dollars per unit),(dollars per unit),(dollars per unit)
Average production prices,,,,,,,
"Crude oil, per barrel",59.84,64.53,69.80,70.84,69.86,66.89,66.91
"NGL, per barrel",30.78,37.27,38.53,47.10,26.30,36.34,32.88
"Natural gas,per thousand cubic feet",2.14,1.68,6.97,1.96,2.33,6.39,3.87
"Bitumen,per barrel",一,28.66,,,一,一,28.66
"Synthetic oil, per barrel",,54.85,,,,,54.85
"Average production costs, per oil-equivalent barrel - total",11.64,24.32,13.07,17.28,7.31,6.94,13.34
"Average production costs,per barrel - bitumen",,22.93,,,,,22.93
"Average production costs,per barrel - synthetic oil",,45.33,,,,,45.33
Equity Companies,,,,,,,
Average production prices,,,,,,,
"Crude oil, per barrel",66.30,,63.92,,67.31,,67.07
"NGL, per barrel",27.16,,,,45.10,,44.64
"Natural gas, per thousand cubic feet",2.19,,5.03,,6.31,,6.01
"Average production costs,per oil-equivalent barrel - total",24.71,,16.30,,1.49,,4.96
Total,,,,,,,
Average production prices,,,,,,,
"Crude oil, per barrel",60.61,64.53,69.57,70.84,68.92,66.89,66.93
"NGL, per barrel",30.72,37.27,38.53,47.10,39.69,36.34,35.85
"Natural gas, per thousand cubic feet",2.14,1.68,6.11,1.96,5.38,6.39,4.67
"Bitumen,per barrel",,28.66,,,,,28.66
"Synthetic oil, per barrel",,54.85,,,,,54.85
"Average production costs,per oil-equivalent barrel - total",12.43,24.32,14.06,17.31,3.98,6.94,11.29
"Average production costs,per barrel - bitumen",,22.93,,,,,22.93
"Average production costs, per barrel - synthetic oil",,45.33,,,,,45.33
