Equity Company Financial Summary,Total,ExxonMobil Share,Total,ExxonMobil Share,Total,ExxonMobil Share
Total revenues,"69,954","21,282","102,365","31,240","112,938","34,539"
Income before income taxes,"12,743","2,830","29,424","7,927","37,203","10,482"
Income taxes,"4,333",870,"9,725","2,500","11,568","3,151"
Income from equity affiliates,"8,410","1,960","19,699","5,427","25,635","7,331"
Current assets,"33,419","11,969","36,035","12,661","38,670","13,394"
Long-term assets,"150,358","41,457","143,321","40,001","128,830","35,970"
Total assets,"183,777","53,426","179,356","52,662","167,500","49,364"
Current liabilities,"18,827","5,245","24,583","6,939","27,324","7,606"
Long-term liabilities,"66,053","19,927","61,022","18,158","56,913","17,109"
Net assets,"98,897","28,254","93,751","27,565","83,263","24,649"
