,"Fair Value Measurement at December 31,2020, Using:","Fair Value Measurement at December 31,2020, Using:","Fair Value Measurement at December 31,2020, Using:","Fair Value Measurement at December 31,2020, Using:",Total
,Level 1,Level 2,Level 3,Net Asset Value,Total
,,,(millions of dollars),,
Asset category:,,,,,
Equity securities,,,,,
U.S.,88,,,,88
Non-U.S.,48 (,,,,48
Debt securities,,,,,
Corporate,,103 (2),,,103
Government,,204(2),,,204
Asset-backed,,,,,一
Cash,,一,,3,3
Total at fair value,136,307,,3,446
