Train Number,Depart SJ,Max Load,Percent of Seated Capacity,High Season Max Load,High Season Capacity
319,"7:03 AM",878,"135%",1028,158%
323,"7:45 AM",834,"128%",976,150%
329,"8:03 AM",828,"127%",969,149%
375,"5:23 PM",794,"122%",929,143%
217,"6:57 AM",791,"122%",925,142%
225,"7:50 AM",761,"117%",890,137%
313,"6:45 AM",703,"108%",822,126%
215,"6:50 AM",691,"106%",809,124%
269,"4:39 PM",690,"106%",807,124%
227,"7:55 AM",671,"103%",785,121%
233,"8:40 AM",660,"102%",772,119%
365,"4:23 PM",626,"96%",733,113%
