Metric,de-en,fi-en,gu-en,kk-en,lt-en,ru-en,zh-en
BLEU,0.053,0.236,0.194,0.276,0.249,0.177,0.321
CHRF,0.123,0.292,0.240,0.323,0.304,0.115,0.371
Y1SI-1,0.164,0.347,0.312,0.440,0.376,0.217,0.426
BERTSCORE (default),0.190,0.354,0.292,0.351,0.381,0.221,0.432
BERTSCORE (xlmr-base),0.171,0.335,0.295,0.354,0.356,0.202,0.412
BLEURT (base-128),0.171,0.372,0.302,0.383,0.387,0.218,0.417
BLEURT (large-512),0.174,0.374,0.313,0.372,0.388,0.220,0.436
COMET-HTER,0.185,0.333,0.274,0.297,0.364,0.163,0.391
COMET-MQM,0.207,0.343,0.282,0.339,0.368,0.187,0.422
COMET-RANK,0.202,0.399,0.341,0.358,0.407,0.180,0.445
