Title:,BUSINESS MANAGEMENT AND ENTREPRENEURSHIP
Transcript abbreviations:,Business M&E 10 (Tex Acosta will create Aeries account)
Length of course:,Full Year Lecture Hours: Normal: 54 Range: 48 - 54 Outside of Class Hours: Normal: 108 Range: 96 - 108
Subject area: UC honors designation?,"College-Preparatory Elective (""g"") / Interdisciplinary"
Articulated?,NO - YES WITH BUSINESS 10 Yes with Chaffey College in Partnership with CSUSB
,-Chaffey College will offer 3 units of articulated credit for this class. -CSUSB has guaranteed direct transferrable credit for course.
,-Both Department Chairs and Deans of Chaffey College (Dr. Vanessa
,Thomas and CSUSB (Dr. Tony Coulson) have agreed to oversee
Prerequisites:,articulation each year in partnership with SBCUSD. Student should be in Logistics & Business Management Pathway
Co-requisites:,N/A
Integrated (Academics / CTE)?,No; but course is taught by CTE Teacher
Grade levels:,"11th, 12th"
Course learning environment:,
