```
"Qualified and Non-qualified Pension Benefits","United States","2018","2017","International","2018","2017","Postretirement Benefits","2018","2017"
"Benefit obligation at beginning of year","$ 17,360","$ 16,202","$ 7,502","$ 6,625","$ 2,410","$ 2,259","$ 15,948","$ 17,360","$ 6,965","$ 7,502","$ 2,175","$ 2,410"
"Acquisitions/Transfers","-","-","(11)","3","-","-","-","-","-","-","-","-"
"Service cost","288","268","143","142","52","52","52","52","52","52","52","52"
"Interest cost","563","565","157","157","79","80","-","-","-","-","-","-"
"Participant contributions","-","-","9","8","-","-","-","-","-","-","-","-"
"Foreign exchange rate changes","-","-","(387)","667","(13)","3","-","-","-","-","-","-"
"Plan amendments","-","-","7","6","-","(6)","-","-","-","-","-","-"
"Actuarial (gain) loss","(1,226)","1,263","(144)","170","(244)","127","-","-","-","-","-","-"
"Benefit payments","(1,034)","(936)","(304)","(276)","(109)","(105)","-","-","-","-","-","-"
"Settlements, curtailments, special termination benefits and other","(3)","(2)","(7)","-","-","-","-","-","-","-","-","-"
"Benefit obligation at end of year","$ 15,948","$ 17,360","$ 6,965","$ 7,502","$ 2,175","$ 2,410","$ 15,686","$ 15,948","$ 6,170","$ 6,737","$ 1,260","$ 1,397"
"Fair value of plan assets at beginning of year","$ 15,686","$ 14,081","$ 6,737","$ 5,617","$ 1,397","$ 1,356","$ 14,803","$ 15,686","$ 6,170","$ 6,737","$ 1,260","$ 1,397"
"Acquisitions/Transfers","(4)","-","-","2","-","-","(4)","(4)","-","-","-","-"
"Actual return on plan assets","(95)","1,693","(38)","714","(32)","143","-","-","-","-","-","-"
"Company contributions","254","852","112","112","4","3","-","-","-","-","-","-"
"Participant contributions","-","-","9","8","-","-","-","-","-","-","-","-"
"Foreign exchange rate changes","-","-","(346)","560","-","-","-","-","-","-","-","-"
"Benefit payments","(1,034)","(936)","(304)","(276)","(109)","(105)","-","-","-","-","-","-"
"Settlements, curtailments, special termination benefits and other","(4)","(4)","-","-","-","-","-","-","-","-","-","-"
"Fair value of plan assets at end of year","$ 14,803","$ 15,686","$ 6,170","$ 6,737","$ 1,260","$ 1,397","$ 14,803","$ 15,686","$ 6,170","$ 6,737","$ 1,260","$ 1,397"
"Funded status at end of year","$ (1,145)","$ (1,674)","$ (795)","$ (765)","$ (915)","$ (1,013)","$ 14,803","$ 15,686","$ 6,170","$ 6,737","$ 1,260","$ 1,397"
```
