```
Asset Class	2018	2017	2018	2017	2018	2017	2018	2017
Equities	$ 2,603	$ 3,095	$ —	$ —	$ —	$ —	$ 2,975	$ 3,517
Equities	$ 1,369	$ 1,568	$ —	$ —	$ —	$ —	$ 1,369	$ 1,568
Equities	$ 1,234	$ 1,527	$ —	$ —	$ —	$ —	$ 1,234	$ 1,527
Equities	$ 372	$ 422	$ —	$ —	$ —	$ —	$ —	$ —
Total Equities	$ 2,603	$ 3,095	$ —	$ —	$ —	$ —	$ 2,975	$ 3,517
Fixed Income	$ 1,900	$ 2,680	$ 4,347	$ 4,282	$ —	$ —	$ 6,256	$ 6,970
Fixed Income	$ 1,889	$ 2,666	$ 732	$ 484	$ —	$ —	$ 2,621	$ 3,150
Fixed Income	$ 44	$ 168	$ 44	$ 44	$ —	$ —	$ 44	$ 168
Fixed Income	$ 9	$ 10	$ 2,941	$ 2,904	$ —	$ —	$ 2,950	$ 2,914
Fixed Income	$ 475	$ 614	$ 475	$ 614	$ —	$ —	$ 475	$ 614
Fixed Income	$ 2	$ —	$ 111	$ 110	$ —	$ —	$ 113	$ 110
Fixed Income	$ 9	$ 8	$ —	$ —	$ —	$ —	$ 9	$ 8
Total Fixed Income	$ 1,900	$ 2,680	$ 4,347	$ 4,282	$ —	$ —	$ 6,256	$ 6,970
Private Equity	$ 45	$ 34	$ —	$ —	$ —	$ —	$ (7)	$ —
Private Equity	$ 45	$ 34	$ —	$ —	$ —	$ —	$ (7)	$ —
Private Equity	$ 2,064	$ 2,064	$ —	$ —	$ —	$ —	$ 2,109	$ 2,089
Private Equity	$ 45	$ 34	$ —	$ —	$ —	$ —	$ (7)	$ —
Private Equity	$ 2,064	$ 2,064	$ —	$ —	$ —	$ —	$ 2,109	$ 2,089
Absolute Return	$ 28	$ 31	$ 114	$ 102	$ —	$ —	$ —	$ —
Absolute Return	$ 28	$ 31	$ 114	$ 102	$ —	$ —	$ —	$ —
Absolute Return	$ 142	$ 133	$ —	$ —	$ —	$ —	$ 142	$ 133
Absolute Return	$ 28	$ 31	$ 114	$ 102	$ —	$ —	$ —	$ —
Absolute Return	$ 142	$ 133	$ —	$ —	$ —	$ —	$ 142	$ 133
Cash and Cash Equivalents	$ 412	$ 109	$ 4	$ 14	$ —	$ —	$ 1	$ 1
Cash and Cash Equivalents	$ 412	$ 109	$ 4	$ 14	$ —	$ —	$ 1	$ 1
Cash and Cash Equivalents	$ 1,285	$ 1,024	$ —	$ —	$ —	$ —	$ —	$ —
Cash and Cash Equivalents	$ 412	$ 109	$ 3	$ (488)	$ —	$ —	$ 1	$ —
Cash and Cash Equivalents	$ 412	$ 109	$ 3	$ (488)	$ —	$ —	$ 1	$ —
Cash and Cash Equivalents	$ 1,285	$ 1,024	$ —	$ —	$ —	$ —	$ —	$ —
Total	$ 4,988	$ 5,949	$ 4,464	$ 3,896	$ —	$ —	$ (6)	$ —
Total	$ 15,062	$ 15,939	$ —	$ —	$ —	$ —	$ —	$ —
Other items to reconcile to fair value of plan assets	$ (259)	$ (253)	$ —	$ —	$ —	$ —	$ —	$ —
Fair value of plan assets	$ 14,803	$ 15,686	$ —	$ —	$ —	$ —	$ —	$ —
```
