Number,Unit,Designation,Order No.,Model
1,Pcs,"Complete combi spout, (at nominal power rating of 2.75 kW-3.25 kW)",33 2867 5300,Basic Milk / Easy Milk
1,Meter,Milk hose,00 0048 4948,all
1,Pcs,Milk hose sleeve,33 2180 5000,Basic Milk / Easy Milk
1,Pcs,Milk hose spring 28,33 0190 3000,Basic Milk / Easy Milk
0.25,Meter,Mixer hose,00 0048 0064,Choc
1,Pcs,Mixer hose spring,33 2292 6000,Choc
1,Pcs,Mixer bowl,33 2872 8000,Choc
1,Pcs,Milk nozzle for very cold milk (green),33 2317 8000,Basic Milk
1,Pcs,Milk nozzle for cooled milk (white),33 9516 9000,Basic Milk
1,Pcs,Milk nozzle for milk that is not refrigerated (caramel),33 9521 3000,Basic Milk
1,Pcs,Milk nozzle (beige),33 2046 0100,Basic Milk
1,Pcs,Coffee grounds container,33 2634 1000,all
1,Pcs,Coffee grounds container slider,33 2633 9000,all
1,Pcs,Connecting tube for constant water supply,33 2292 1000,all
1,Pcs,Angle for drain tube,33 2165 8000,all
1.5,Meter,Drain tube,00 0048 0042,all
