Errorpattern,Action instructions
· No hot water dispensing but water in grounds container,* Clean the hot water spout * Call WMF Service (coffee dispensing possible)
No Choc dispensing but water in grounds container,* Do not use Choc dispensing * Call WMF Service (coffee dispensing possible)
"Choc portion controller blocked,Choc dispensed only with water","* Clean portion controller CareClean powder hopper, page 81 * Empty powder * Turn dosing auger manually until all powder is removed * If necessary rinse with water"
Coffee dispensing on the left / right differs,"* (Allow to) dry completely * Clean the combi spout CareClean milk system manually, page 77"
"No milk foam /milk output, but milk in milk container","* Check whether the milk hose is kinked or squashed * Re-route milk hose correctly * Basic /Easy Milk: clean the combi spout * Dynamic Milk: clean combi spout manually * Adding milk * Dynamic Milk:add milk and touch ""Fill milk system""in the customer care menu Software Care Fillmilk system,page 33 *Basic Milk: check whether milk nozzle is blocked CareMilk system cleaning,page 64 * Check whether milk cooler is iced"
· Milk foam not Ok·Temperature too cold ortoo hot,Basic Milk* Change milk nozzleUse a suitable milk nozzle on the combi spout.
,Milk nozzle 3kW
,"· very cold milk (up to 8 C) greenChilled milk (8 to 16 ℃) whiteuncooled milk (above 16 ℃) caramel* Clean the combi spoutCare Clean milk system manually, page 77If error not remedied* Use another milk nozzle from the accessories"
·Milk foam not OK·Temperature too cold ortoo hot,Easy Milk/Dynamic Milk* Check whether the milk temperature is thesame as the set temperature
.The milk foam dispensingspits stronglyMilk too hot,"* Check whether the milk system has beencleaned* Clean the milk systemCare Milk system cleaning overview, page 66* Check whether the milk has been cooledsufficiently"
· No powder beveragedispensing,"* Clean the mixer bowl* Is the hose kinked?* Perform milk cleaning and rinsing oftener, ifnecessary dailyCare Cleaning intervals overview, page 61CareClean milk system manually page 77* Dose less powder* Dose more water"
