NumberUnit,Unit,Designation,Order No.,Model
Complete combi spout Choc,Complete combi spout Choc,Complete combi spout Choc,Complete combi spout Choc,Complete combi spout Choc
1,Pcs,"Complete combi spout, (at nominalpower rating of 2.75 kW-3.25 kW)",33 2867 5300,Basic Milk /Easy Milk
1,Meter,Milk hose,00 0048 4948,al
1,Pcs,Milk hose sleeve,33 2180 5000,Basic Milk/Easy Milk
1,Pcs,Milk hose spring 28,33 01903000,Basic Milk/Easy Milk
0.25,Meter,Mixer hose,00 0048 0064,Choc
1,Pcs,Mixer hose spring,33 2292 6000,Choc
1,Pcs,Mixer bowl,33 2872 8000,Choc
1,Pcs,Milk nozzle for very cold milk (green),33 2317 8000,Basic Milk
1,Pcs,Milk nozze for cooled milk (white),33 9516 9000,Basic Milk
1,Pcs,Milk nozze for milk that is notrefrigerated (caramel),33 9521 3000,Basic Milk
1,Pcs,Milk nozzle (beige),33 2046 0100,Basic Milk
Coffee grounds container,Coffee grounds container,Coffee grounds container,Coffee grounds container,Coffee grounds container
1,Pcs,Coffee grounds container,33 2634 1000,all
1,Pcs,Coffee grounds container slider,33 2633 9000,all
Constant water supply， drainage,Constant water supply， drainage,Constant water supply， drainage,Constant water supply， drainage,Constant water supply， drainage
1,Pcs,Connecting tube for constantwater supply,33 2292 1000,all
1,Pcs,Angle for drain tube,33 2165 8000,al
1.5,Meter,Drain tube,00 0048 0042,all
Number,Unit,Designation,Order No.,Model
Accessories /Tools,Accessories /Tools,Accessories /Tools,Accessories /Tools,Accessories /Tools
1,Pcs,Multitool,33 2408 4000,al
Complete bean hopper,Complete bean hopper,Complete bean hopper,Complete bean hopper,Complete bean hopper
1,Pcs,Bean hopper lid,33 2636 4000,all
1,Pcs,Medium bean hopper lid,33 2638 8000,all
1,Pcs,Bean hopper /product hopper labels,33 2624 7000,all
Product hopper,Product hopper,Product hopper,Product hopper,
1,Pcs,Choc product hopper,33 2885 6000,Choc
1,Pcs,Product hopper lid (Choc),33 2636 4000,Choc
1,Pcs,Plug&tClean adapter,33 2427 5000,all
Brewing unit,Brewing unit,Brewing unit,Brewing unit,Brewing unit
1,Pcs,Brewing unit,33 2823 6199,al
Drip tray/ drip grid,Drip tray/ drip grid,Drip tray/ drip grid,Drip tray/ drip grid,Drip tray/ drip grid
1,Pcs,Drip tray without SteamJet,33 2633 7000,without SteamJet
1,Pcs,Drip tray with SteamJet,33 2633 7100,with SteamJet
1,Pcs,Drip grid without SteamJet,33 2633 8000,without SteamJet
1,Pcs,Drip grid with SteamJet,33 2633 8100,with SteamJet
Water tank,Water tank,Water tank,Water tank,Water tank
1,Pcs,Water tank,33 2886 7000,all
1,Pcs,Water tank lid,33 2635 6000,all
1,Pcs,Water tank sieve,33 7006 2608,all
Scale filter/water filter,Scale filter/water filter,Scale filter/water filter,Scale filter/water filter,Scale filter/water filter
1,Pcs,Water filter Bestmax M (complete kit),03 9331 0001,Constant water
1,Pcs,Replacement cartridge for waterfilter,33 2426 5000,Constant water
1,Pcs,Adapter for the water filter in the watertank,33 2327 1000,Water tank
1,Pack,Replacement cartridge for the waterfilter in the water tank (4 pcs in package),33 2332 2000,Water tank
NumberUnit,Unit,Designation,Order No.,Model
Documentation / Instructions,Documentation / Instructions,Documentation / Instructions,Documentation / Instructions,Documentation / Instructions
1,Pcs,Set of documents:User Manual WMF 1500 S,33 2675 8010,all
Order numbers for the WMF care program,Order numbers for the WMF care program,Order numbers for the WMF care program,Order numbers for the WMF care program,Order numbers for the WMF care program
1,Bottle,WMF Special cleaner for milk foamer,33 0683 6000,all
1,Pack,Special cleaning tablets (10o pieces),33 2332 4000,al
1,Pcs,Pipe cleaner,33 0350 0000,all
1,Pcs,Cleaning brush,33 15219000,al
1,Tube,"WMF Molykote ""gasket grease""",33 2179 9000,all
1,Pcs,Care kit,33 2888 2000,all
1,Pack,Special cleaning tablets,33 2622 0000,Easy Milk/Dynamic Milk
1,Pcs,Cleaning container,33 2593 6000,Easy Milk/Dynamic Milk
1,Pcs,Cleaning container lid,33 2593 7000,Easy Milk/Dynamic Milk
