Term Explanation,Term Explanation
·,"·Listings, selection options"
*,* Individual steps
Text in italics,Description of coffee machine state and/or explanationsof automatic steps.
Additions,"Components of a recipe for a beverage,in addition tocoffee,such as milk, milk foam, Choc."
Barista,Professional coffee server
Beverage dispensing,"Dispensing coffee, hot water, or powdered beverages"
Capacity,For example: the capacity of the water filter in litres ofwater it can filter
Carbonate hardness,Quoted in dKH. The water hardness is a measure of thecalcium dissolved in the drinking water.
Choc,Hot chocolate
Combi spout,Standard is double spout. Option available for singlespout.
Decaf,Decaffeinated coffee
Grounds chute,"DGrounds disposal through the counter, page 26"
Main water supply tap,"Water stop valve, angle valve"
Milk system,"Combi spout, milk nozzle and milk hose"
Mixer system,"Complete module,mixer with portion controller forpowder beverages"
Powder beverages,Such as Choc or Topping
Pre-infusion,"Prior to brewing cycle,coffee is briefly infused in order toensure a more intense release of its aromatic substances."
Pressing,Automatic pressing of ground coffee prior to brewingcycle.
Rinsing,Intermediate cleaning
SB mode(self-service mode),Self-service customer operation
