Term,Explanation
Additions,"Components of a recipe for a beverage, in addition to coffee, such as milk, milk foam, Choc."
Barista,Professional coffee server
Beverage dispensing,"Dispensing coffee, hot water, or powdered beverages"
Capacity,For example: the capacity of the water filter in litres of water it can filter
Carbonate hardness,Quoted in °dKH. The water hardness is a measure of the calcium dissolved in the drinking water.
Choc,Hot chocolate
Combi spout,Standard is double spout. Option available for single spout.
Decaf,Decaffeinated coffee
Grounds chute,"Grounds disposal through the counter, page 26"
Main water supply tap,"Water stop valve, angle valve"
Milk system,"Combi spout, milk nozzle and milk hose"
Mixer system,"Complete module, mixer with portion controller for powder beverages"
Powder beverages,Such as Choc or Topping
Pre-infusion,"Prior to brewing cycle, coffee is briefly infused in order to ensure a more intense release of its aromatic substances."
Pressing,Automatic pressing of ground coffee prior to brewing cycle.
Rinsing,Intermediate cleaning
SB mode (self-service mode),Self-service customer operation
