External dimensions,Width 325 mmHeight 680 mm (with bean hopper)Depth 590 mm
Coffee bean hopperPowder hopper (optional),"approx.650 g each (1Coffee bean hopper in the center approx.550 g(1approx.1,200 g each (2"
Weight empty,32-36 kg (depending on the model)
Water supply,"3/8 inch hose connector with mains tap,and filterwith 0.08 mm mesh size,on site.At least O.2 MPa (2 bar) flow pressure at 2 I/min(standard).Maximum 0.6 MPa (6 bar).Maximum inlet temperature 35 C.The set of hoses provided with the new coffeemachine and/or the new water filter must be used.Do not use old hoses."
Water quality,"For drinking water with carbonate hardness above5°dKH,a WMF water filter should be fitted upstream."
Water drain tube (optional),"Tube a minimum of DN 19,minimum downward slopeof 2 cm/m"
Nominal power rating,2.75-3.25 kW
Power supply,"220-240 V, 50/60 Hz,(1/N/PE)"
Illumination,LED class 1
Degreeofprotection,IP X0
Protection class,
Continuous sound pressurelevel (Lpa),<70 dB(A) (3
