Signature,Title,Date
"/s/ Marc Benioff","Chair of the Board and Chief Executive Officer (Principal Executive Officer)",March 5, 2020
"/s/ Mark J. Hawkins","President and Chief Financial Officer (Principal Financial Officer)",March 5, 2020
"/s/ Joe Allanson","Executive Vice President, Chief Accounting Officer and Corporate Controller (Principal Accounting Officer)",March 5, 2020
"/s/ Craig Conway","Director",March 5, 2020
"/s/ Parker Harris","Director, Co-Founder and Chief Technology Officer",March 5, 2020
"/s/ Alan Hassenfeld","Director",March 5, 2020
"/s/ Neelie Kroes","Director",March 5, 2020
"/s/ Colin Powell","Director",March 5, 2020
"/s/ Sanford R. Robertson","Director",March 5, 2020
"/s/ John V. Roos","Director",March 5, 2020
"/s/ Robin Washington","Director",March 5, 2020
