GRI Standard,Disclosure,Disclosure,"Page number(s), URL and/or direct answer",Omissions,ExternalAssurance,ExternalAssurance,ExternalAssurance,Global Compactprinciple,,,,
,305-7 Nitrogen oxides,305-7 Nitrogen oxides,,Not applicable.We,,,,Principles 7and8,,,,
,"(NOX),sulfur oxides (SOX),","(NOX),sulfur oxides (SOX),",,do not disclose,,,,Principles 7and8,,,,
,and other significant air,and other significant air,,information about,,,,Principles 7and8,,,,
,emissions,emissions,,other air emissions,,,,Principles 7and8,,,,
,,,,as they are,,,,Principles 7and8,,,,
,,,,considered non-,,,,Principles 7and8,,,,
,,,,material due to the,,,,Principles 7and8,,,,
,,,,characteristics of,,,,Principles 7and8,,,,
,,,,the devices and,,,,,,,,
,,,,the equipment,,,,,,,,
,,,,reviewfrequency,,,,,,,,
,,,,stipulated inprevailing,,,,,,,,
,,,,legislation,,,,,,,,
,,,,,(controls are not,,,,,,,
,,,,necessary). The,,,,,,,,
,,,,emission of,,,,,,,,
,,,,particles deriving,,,,,,,,
,,,,fromtransportation is,,,,,,,,
,,,,fromtransportation is,,,,,,,,
,,,,generated byoutsourced,,,,,,,,
,,,,"carriers so that thisindicator is not applicable to theGroup.Nevertheless,",,,,,,,,
,,,,"Inditexfostersenhancedemissionsmanagement andcontrol in its valuechain through the tool that enablescalculation ofemissions inaccordance withthe GHG Protocol, coupled with thedefinition of actionplans.",,,,,,,,
OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,OTHER DISCLOSURES: ENERGY,,,,
,AF21 Amount of energyconsumed and percentageof the energy that is fromrenewable sources,AF21 Amount of energyconsumed and percentageof the energy that is fromrenewable sources,"160,379-380,383-384",,√Pg.143-145,√Pg.143-145,√Pg.143-145,Principles 7and8,,,,
ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,ENVIRONMENTAL FOOTPRINT MINIMISATION,,,,
GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,,,,
,103-1 Explanation of thematerial topic and itsBoundary,103-1 Explanation of thematerial topic and itsBoundary,"225-227,536-539",,,,,Principles 7and8,,,,
