,M,e,"鼎 Gender, diversity",M,&,,Protection of
,Worker participation wages,Living,and inclusion,health and safety,Occupational Protectionof migrants and Social refugees,protection,labourrights inthe productionof rawmaterials
Fairandfavourableworkingconditions,,0,0,0,,,0
Non-discrimination,,0,0,,0,,
Adequatestandardof living,,0,0,,,0,0
Education,,日,0,0,0,0,
Heath,,0,0,0,,D,
Life,,日,0,0,?,,
Notbeingsubjecttodegrading treatment,,,D,,,,
Nothaving toendureharassment,,,0,,,,
Equal pay,,,0,,,,
Freedomofmovement,,,0,,,,
Freedomandsecurityof the person,,,0,,,,
Engagementin public life,,,0,,,,
Rightsofemployeeswithdisabilities,,,0,,,,
Reproductive rights,,,0,,,,
Freedomofassociation,O,,,V,,,D
Healthy environment,,,,,,,0
Banon forced labour,,,,,,,?
Collective bargaining,,√,,,,,
Collectiverightsofcommunities,,,,,,,
Social protection,,,,,,,
"Freedomofthought,conscenceand religion",,,,,,,>
Privacy,,,,,√,,D
Protectionagainstviolence,,,,,D,,D
Healthcare,,,,,0,,√
Freedomof opinionand expression,,,,,0,,0
Property,,√,,,√,,0
