Pensions and similar obligations with personnel,Liability,Other provisions,Total
Balance at 01/02/2020,53,87,"76,217"
Provisions recorded during the year,11,57,"13,82"
Disposals,(3),(32),"(3),(38)"
Transfers,-,-,"-,-"
Foreign exchange translation differences,(2),(3),"(4),(9)"
Balance at 31/01/2021,59,110,"83,252"
Balance at 01/02/2021,59,110,"83,252"
Provisions recorded during the year,31,33,"3,67"
Disposals,(9),(6),"(2),(17)"
Transfers,(6),-,"(8),(14)"
Foreign exchange translation differences,(1),-,"-,(1)"
Balance at 31/01/2022,74,137,"76,287"
