GRI Standard,"Page number(s), URLDisclosure Omissions and/or direct answer","Page number(s), URLDisclosure Omissions and/or direct answer","Page number(s), URLDisclosure Omissions and/or direct answer","Page number(s), URLDisclosure Omissions and/or direct answer",ExternalAssurance,Global Compact principle,
,405-2 Ratio of basic salary and remuneration of,"229-231,258-259,453,456","229-231,258-259,453,456",Information about,√,Principle 6,
,405-2 Ratio of basic salary and remuneration of,"229-231,258-259,453,456","229-231,258-259,453,456",the remuneration,Pg.143-145,Principle 6,
,women to men,,,earned by women,Pg.143-145,Principle 6,
,women to men,,,relative to men by,Pg.143-145,Principle 6,
,women to men,,,job category is not,Pg.143-145,Principle 6,
,women to men,,,,Pg.143-145,Principle 6,available with the
,women to men,,,level of detail,Pg.143-145,Principle 6,
,women to men,,,"required in thecompany's systems.Inditex is working toupgrade its systemswith a view toreporting that information in theNon-FinancialInformationStatement 2022,tobe published in2023.",,Principle 6,
GRI 406: NON-DISCRIMINATION 2016,GRI 406: NON-DISCRIMINATION 2016,GRI 406: NON-DISCRIMINATION 2016,GRI 406: NON-DISCRIMINATION 2016,GRI 406: NON-DISCRIMINATION 2016,GRI 406: NON-DISCRIMINATION 2016,,
,406-1 Incidents ofdiscrimination andcorrective actions taken,The Inditex Group did notreceive any instances ofdiscrimination implying abreach of human rightsthrough any of the channelsavailable to that end in2021.The Group is working toestablish the criteria and practices constitutingpotential non-compliancewith or breaches of humanrights and plans to draw upa risk map to identify themost significant areas ofrisk.,The Inditex Group did notreceive any instances ofdiscrimination implying abreach of human rightsthrough any of the channelsavailable to that end in2021.The Group is working toestablish the criteria and practices constitutingpotential non-compliancewith or breaches of humanrights and plans to draw upa risk map to identify themost significant areas ofrisk.,,√Pg.143-145,,
OTHER DISCLOSURES: DIVERSITY AND EQUAL OPPORTUNITIES,OTHER DISCLOSURES: DIVERSITY AND EQUAL OPPORTUNITIES,OTHER DISCLOSURES: DIVERSITY AND EQUAL OPPORTUNITIES,OTHER DISCLOSURES: DIVERSITY AND EQUAL OPPORTUNITIES,OTHER DISCLOSURES: DIVERSITY AND EQUAL OPPORTUNITIES,OTHER DISCLOSURES: DIVERSITY AND EQUAL OPPORTUNITIES,,
,AF27 Policy and actions to protect the pregnancy andmaternity rights of womenworkers,"240-242,358-359","240-242,358-359",,,,
,AF32 Actions to addressgender discrimination andto provide opportunitiesfor the advancement ofwomen workers,232-236,232-236,,,,
