MATERIAL TOPIC,GRI STANDARD,CONTENT,COVERAGE*,INVOLVEMENT**
1.Ethical behaviour andgovernance,GRI 103: Managementapproach 2016GRI 205: Anti-corruption2016GRI 206: Anti-competitivebehaviour 2016GRI 307: Environmentalcompliance 2016GRI 415: Public policy2016GRI 419: Socioeconomiccompliance 2016,103-1 to 103-3205-1to 205-3206-1307-1415-1419-1,,0 0OO
2. Risk management andcontrol systems,GRI103: Managementapproach 2016GRI 418: Customerprivacy 2016,103-1 to 103-3418-1,,0 0
3.Stakeholderengagement,GRI103: Managementapproach 2016,103-1 to 103-3,,O 。
4.ResponsibleCommunication,GRI 103:Managementapproach 2016GRI 417: Marketing andlabelling 2016,103-1 to 103-3417-1 to 417-3,竹,O 。O。O
5.Value chaintransparency andtraceability,GRI103: Managementapproach 2016,103-1 to 103-3,,0 。0。
6.Responsible purchasingpractices,GRI 103: Managementapproach 2016,103-1 to 103-3,↑,O。
7.Value creation,GRI 103: Managementapproach 2016GRI 201: Economicperformance 2016GRI 203: Indirecteconomic impacts 2016GRI 207: Tax 2019GRI 413: Localcommunities 2016,103-1 to 103-3201-1 to 201-4203-1 to 203-2207-1 to 207-4413-1 to 413-2,↑,0 。00
8.Innovation,GRI 103: Managementapproach 2016,103-1 to 103-3,↑,o1。O
9.Customer orientation,GRI 103: Managementapproach 2016GRI 406: Non-discrimination 2016,103-1 to 103-3406-1,,0 。0
"10. Diversity,equality andinclusion",GRI 103: Managementapproach 2016GRI 405: Diversity andequal opportunity 2016GRI 406: Non-discrimination 2016,103-1 to 103-3405-1 to 405-2406-1,↑,ollo
11.Quality of employment,GRI 103: Managementapproach 2016GRI 401: Employment2016GRI 402:Labor/managementrelations 2016GRI 403: Occupationalhealth and safety 2018GRI 407: Freedom ofassociation and collectivebargaining 2016,103-1 to 103-3401-1 to 401-3402-1403-1 to 403-10407-1,↑,o1O
12.Human Rights,GRI103: Managementapproach 2016GRI 406: Non-discrimination 2016GRI 408: Child labour2016GRI 409: Forced orcompulsory labour 2016GRI 412: Human rightsassessment 2016GRI 414: Supplier socialassessment 2016,103-1 to 103-3406-1408-1409-1412-1 to 412-2414-1 to 414-2,竹,O 0OO
13.Safe and healthyenvironments,GRI103: Managementapproach 2016GRI 403: Occupationalhealth and safety 2018,103-1 to 103-3403-1 to 403-10,,00O
14.Talent management,GRI 103: Managementapproach 2016GRI 401: Employment2016GRI 404: Training andeducation 2016,103-1 to 103-3401-1 to 401-3404-1 to 404-3,,o10
15.Socially sustainableproduction environments,GRI 103: Managementapproach 2016GRI 407: Freedom ofassociation and collectivebargaining 2016GRI 408: Child labour2016GRI 409: Forced orcompulsory labour 2016GRI 412: Human rightsassessment 2016GRI 414: Supplier socialassessment 2016,103-1 to 103-3407-1408-1409-1412-1 to 412-3414-1 to 414-2,竹,o1oO
16.Climate change,GRI 103:Managementapproach 2016GRI302: Energy 2016GRI 305: Emissions 2016,103-1 to 103-3302-1 to 302-5305-1 to 305-7,→,0 O0O
17.Environmentalfootprint minimisation,GRI 103: Managementapproach 2016GRI303:Water andEffluents 2018GRI 306:Waste 2020GRI 308:Supplierenvironmentalassessment 2016,103-1 to 103-3303-1 to 303-5306-1 to 306-5308-1 to 308-2,,00。01
18.Protection of naturalresources,GRI 103: Managementapproach 2016GRI 304: Biodiversity2016,103-1 to 103-3304-1 to 304-4,,O 。0o
19.Product sustainability,GRI 103:Managementapproach 2016GRI 301: Materials 2016GRI 416: Customer Healthand Safety 2016,103-1 to 103-3301-1 to 301-3416-1 to 416-2,,OO0
20. Circularity,GRI 103: Managementapproach 2016GRI 301: Materials 2016GRI 306:Waste 2020,103-1 to 103-3301-1 to 301-3306-1 to 306-5,,OO。o
