Markets,2021,2020,2019,2018
Americas,164,38,120,93
Brazil,17,二,14,18
Canada,2,6,6,5
United States,64,6,41,20
Mexico,49,15,42,38
Others,32,11,17,12
Asia & Rest of the world,59,62,123,119
Australia,1,4,4,3
China,20,20,56,71
South Korea,10,7,14,6
Japan,10,19,28,21
Kazakhstan,4,5,5,4
Others,14,7,16,14
Spain,195,103,372,360
Spain,195,103,372,360
Europe,383,222,392,383
Germany,7,6,12,5
Belgium,7,(1),6,24
France,27,15,30,52
Greece,7,1,10,12
The Netherlands,106,84,127,101
Hungary,0,1,1,1
Italy,3,6,21,25
Poland,10,18,14,12
Portugal,14,5,16,14
United Kingdom,18,8,15,7
Romania,7,1,9,10
Russia,48,18,41,34
Switzerland,79,48,58,60
Ukraine,10,7,10,5
Others,40,17,22,21
,800,425,"1,007",955
Consolidation,80,42,116,110
Income tax98,880,467,"1,123","1,065"
