,2021,2020,2019,2018
Turnover (millions of euros),,,,
Net sales,"27,716","20,402","28,286","26,145"
Online sales (2),25.5%,32%,14%,12%
Sales by concept (millions of euros),,,,
Zara (Zara + Zara Home) 3),"19,586","14,129","19,564","18,021"
Pull&Bear,"1,876","1,425","1,970","1,862"
Massimo Dutti (Massimo Dutti + Uterque) (4),"1,653","1,271","2,015","1,903"
Bershka,"2,177","1,772","2,384","2,240"
Stradivarius,"1,824","1,283","1,750","1,534"
Oysho,600,522,604,585
Sales by geographic area (percentage),,,,
Spain,14.4%,14.6%,15.7%,16.2%
Europe ex-Spain,48.4%,48.7%,46.0%,45.1%
Americas,17.5%,13.5%,15.8%,15.5%
Asia and rest of the world,19.7%,23.2%,22.5%,23.2%
Total,100%,100%,100%,100%
Financial structure (millions of euros),,,,
Equity attributable to the parent company,"15,733","14,520","14,913","14,653"
Net financial position,"9,359","7,560","8,060","6,705"
Profits and cash flow (millions of euros),,,,
EBITDA,"7,183","4,552","7,598","5,457"
EBIT,"4,282","1,507",4772,4357
Net profit,"3,250","1,104","3,647","3,448"
Net profit attributable to the parent company,"3,243","1,106","3,639","3,444"
Cash flow,"6,531","3,864","6,695",4378
Financial and management ratios,,,,
ROE (Return On Equity),21%,8%,25%,24%
ROCE (Return On Capital Employed),28%,10%,32%,31%
Commercial presence,,,,
Number of markets,215,216,202,202
Number of stores,"6,477","6,829","7,469","7,490"
Average store area (in m2),732,707,681,662
Total retail area (in m2),"4,742,157","4,826,566","5,086,732","4,962,081"
Headquarters effect,,,,
Invoicing to suppliers in Spain (millions ofeuros),"5,376","4,221","5,140","5,248"
Number of suppliers in Spain (5),"6,620","6,384","7,098","7,220"
