GRI Standard\tDisclosure\tPage number(s), URL and/or direct answer\tOmissions\tExternal Assurance\tGlobal Compact principle
RESPONSIBLE PURCHASING PRACTICES,
GRI 103: MANAGEMENT APPROACH 2016,
103-1\tExplanation of the material topic and its Boundary\t225-227, 536-539
103-2\tThe management approach and its components\t299-307,"317,335"
103-3\tEvaluation of the management approach\t159-161, 335
OTHER DISCLOSURES: CAPACITY BUILDING,
AF5\tStrategy and scope of efforts to strengthen capacity of management,"workers and other staff to improve in social and environmental performance.\t245-249,317-319,371-372,374-378"
OTHER DISCLOSURES: BUSINESS INTEGRATION,
AF6\tPolicies for supplier selection,"management,and termination\t327-344\tInditex's Code of Conduct for Manufacturers and Suppliers stipulates the standards and requirements to which suppliers looking to form part of Inditex's supply chain are bound. It is available at the corporate web page of Inditex,How we do business section,Our commitment to people - Our Suppliers heading.\t√\tPg. 143-145"
AF17\tActions to identify and mitigate business practices that affect code compliance\t336,"342-344,512"
