Name,Type,Accrual period 2021
Mr PABLO ISLA ALVAREZ DE TEJERA,Executive,From 01/02/2021 to 31/01/2022
Mr CARLOS CRESPO GONZALEZ,Executive,From 01/02/2021to29/11/2021128
Mr OSCAR GARCIA MACEIRAS,Executive,From 29/11/2021129 to31/01/2022
Mr AMANCIO ORTEGA GAONA,Proprietary,From 01/02/2021 to 31/01/2022
Mr JOSE ARNAU SIERRA,Proprietary,From 01/02/2021 to 31/01/2022
"PONTEGADEA INVERSIONES,S.L.（REPRESENTED BY MS.FLORA PEREZMARCOTE)",Proprietary,From 01/02/2021 to 31/01/2022
BNS. DENISE PATRICIA KINGSMILL,Independent,From 01/02/2021 to 31/01/2022
Mr JOSE LUIS DURAN SCHULZ,Independent,From 01/02/2021 to 31/01/2022
Mr RODRIGO ECHENIQUE GORDILLO,Independent,From 01/02/2021to 31/01/2022
Ms PILAR LOPEZ ALVAREZ,Independent,From 01/02/2021 to 31/01/2022
Mr EMILIO SARACHO RODRIGUEZ DETORRES,Independent,From 01/02/2021to 31/01/2022
Mr ANNE LANGE,Independent,From 01/02/2021to 31/01/2022
