Group,Topic,Region,Attendees
Governing Bodies | Senior Management,,,
Zara Holding Supervisory Board,Ethics and Compliance,Netherlands,18
Brands Management,Ethics and Compliance,Spain,4
Subsidiary management,Ethics and Compliance,"France, Switzerland, Austria, Germany, Nordic countries, Turkey (ITX Trading)",5
Bangladesh Management,Ethics and Compliance,Bangladesh,1
Senior Management,Ethics and Compliance,Spain (online),15
Corporate office,,,
"Corporate,brands,logistics and factory staff",Ethics and Compliance,Spain,"3,820"
Corporate staff foreign subsidiaries,Ethics and Compliance,"Austria,China,Belgium,USA,Switzerland (Retail+ITX Trading),Germany,Nordic countries,France,Turkey,Mexico,Canada",511
Staff bound by the Internal Regulation of Conduct (IRC),Internal Regulation of Conduct (IRC),Spain and Mexico,4
ITX Trading staff,Ethics and Compliance,Switzerland and Turkey,73
Stores | Logistics-distribution | Factories,,,
Zara Home stores area managers,Ethics and Compliance,Spain and subsidiaries,"1,244"
,,Serbia,85
,,Slovakia,5
,,Bulgaria,268
,,Austria,267
,,France,70
,,Greece,"6,082"
,,Turkey,558
,,Ukraine,242
Store staff,'Buenos días' – Compliance,,
Country,Turkey,Ukraine,
Turkey,558,,
Ukraine,242,,
