Country,Workers trained/Market
Spain,"14,706"
Germany,434
Argentina,781
Australia and New Zealand,404
Austria,579
Belarus,386
Belgium,"1,309"
Brazil,671
Bulgaria,590
Canada,"1,702"
Chile,201
Mainland China,"5,782"
Croatia,"1,030"
Slovakia,436
United States,"2,687"
France,"2,870"
Greece,"1,244"
India,63
Ireland,432
Italy,"3,494"
Kazakhstan,970
Luxembourg,181
Mexico,"1,398"
Norway,6
Poland,"4,182"
Portugal,"1,888"
United Kingdom,"4,568"
Czech Republic,479
Romania,"2,567"
Russia,"1,573"
Serbia,910
South Africa,42
Turkey,"2,338"
Ukraine,"1,314"
Uruguay,322
