Market,Zara,Pull&Bear,,Massimo Dutti,Bershka,Stradivarius,,Oysho,Zara Home,INDITEX
ALBANIA,,Zara,1 11,,2,2,,,,8
GERMANY,70,,,11,14,,,,8,114
ANDORRA SAUDI ARABIA,1 45,1,20,1 13,1 30,1 42,,1 14,1 6,7 170
ALGERIA,3,,3,1,4,4,,2,3,20
ARGENTINA,11,,2,,,,,,,11
ARMENIA,,,,2,3,2,,1,,13 1
ARUBA AUSTRALIA,1 18,,,,,,,,,18
AUSTRIA,12,,,1,7,,,,,26
AZERBAIJAN,3,2,,3,3,2,,1,,14
BAHREIN,2 27,,,2 17,1 14,1 2,,1 3,,9
BELGIUM BELARUS,,,,,3,3,,,6,76
BOSNIA,3,4,,1,4,4,,,,13 16
BRAZIL,43,,,,,,,,8,51
BULGARIA,6,4,,,8,4,,5,,34
CANADA,32,,,6,,,,,,38
CHILE MAINLAND CHINA,9 133,,,70,,,,61,4 39,13
HONG KONG SAR,12,,,1,3,,,,2,303 20
MACAOSAR,2,,,1,,,,1,,5
"TAIWAN, CHINA",9 7,6,,4 6,3 6,7,5,,,21
CYPRUS COLOMBIA,12,,,5,12,12,5,,6,43
SOUTH KOREA,37,,,8,,,,4,5,60 54
COSTARICA,2,,2,1,,2,,1,1,11
CROATIA,10 4,,,3,8,7,,3,2,40
DENMARK ECUADOR,2,,,1,,,,1,,4 13
EGYPT,9,6,,6,6,5,,4,4,40
EL SALVADOR,,,2 10,9,2,2 7,,1,,8
UAE,15 4,,4,2,11 7,,,9,6,67
SLOVAKIA SLOVENIA,4,,2,1,3,4,,,,24
SPAIN,256,55,175,145,168,242,,130,96,"14 1,267"
UNITED STATES,99,,,,,,,,,99
ESTONIA,2 9,,1 3,2 2,1 5,1 4,,,,8
PHILIPPINES FINLAND,6,,,1,,,,,,23
FRANCE,116,,39,7,51,32,,5,16,7 266
GEORGIA,4 39,4,2 22,4 12,3 27,3 23,,2,,19
GREECE,3,,3,,3,3,,18 1,9,154
GUATEMALA NETHERLANDS,28,,12,4,17,8,,,6,15 75
HONDURAS,2,,2 10,1,2 10,2 9,3,1,,11
HUNGARY INDIA,9 21,,14,4 3,,,,,,
