Name,Fixed remuneration,Attendance fees,Remuneration for membership of board committees,Salary,Short-term variable remuneration,Long-term variable remuneration,Indemnification,Other items,Total year 2021,Total year 2020
Mr PABLO ISLA ÁLVAREZ DE TEJERA,100,-,-,"3,250","4,875",1.760-,-,-,"9,985","5,885"
Mr CARLOS CRESPO GONZÁLEZ,83,-,-,"1,179",1.868,1.099-,-,-,"4,229","2,770"
Mr ÓSCAR GARCÍA MACEIRAS,17,-,-,277,382,36,-,-,712,-
Mr AMANCIO ORTEGA GAONA,100,-,-,-,-,-,-,-,100,100
Mr JOSÉ ARNAU SIERRA,100,-,200,-,-,-,-,80,380,380
"PONTEGADEA INVERSIONES, S.L. (REPRESENTED BY MS. FLORA PÉREZ MARCOTE)",100,-,-,-,-,-,-,-,100,100
BNS. DENISE PATRICIA KINGSMILL,100,-,150,-,-,-,-,50,300,300
Mr JOSÉ LUIS DURÁN SCHULZ,100,-,150,-,-,-,-,50,250,273
Mr RODRIGO ECHENIQUE GORDILLO,100,-,150,-,-,-,-,50,300,300
Ms PILAR LÓPEZ ÁLVAREZ,100,-,150,-,-,-,-,50,300,277
Mr EMILIO SARACHO RODRÍGUEZ DE TORRES,100,-,150,-,-,-,-,50,300,300
Ms ANNE LANGE,100,-,150,-,-,-,-,-,250,250
