Land and buildings,"Fixtures, furniture and machinery","Other property, plant and equipment",Work in progress,Total
Cost,,,,
Balance at 01/02/2020,"2,308","11,773",879,"219,15,179"
Acquisitions,27,416,129,"118,690"
Hyperinflation adjustments,1,7,-,"-,8"
Disposals (Note 7),(23),(737),(139),"-,(899)"
Transfers,4,74,9,"(86),2"
Foreign exchange translation differences,(54),(446),(35),"(3),(538)"
Balance at 31/01/2021,"2,263","11,086",844,"248,14,442"
Balance at 01/02/2021,"2,263","11,086",844,"248,14,442"
Acquisitions,7,726,195,"106,1,034"
Hyperinflation adjustments,2,11,1,"-,14"
Disposals (Note 7),(12),(700),(145),"-,(857)"
Transfers,(3),163,5,"(171),(6)"
Foreign exchange translation differences,46,170,9,"2,227"
Balance at 31/01/2022,"2,303","11,456",909,"185,14,854"
Depreciation,,,,
Balance at 01/02/2020,456,"5,851",442,"-,6,749"
Depreciation charge for the year (Note 7),42,805,185,"-,1,032"
Hyperinflation adjustments,-,5,-,"-,6"
Disposals (Note 7),(20),(558),(129),"-,(706)"
Transfers,(1),-,-,"-,(1)"
Foreign exchange translation differences,(8),(217),(20),"-,(245)"
Balance at 31/01/2021,470,"5,887",478,"-,6,835"
Balance at 01/02/2021,470,"5,887",478,"-,6,835"
Depreciation charge for the year (Note 7),41,800,198,"-,1,039"
Hyperinflation adjustments,1,8,1,"-,10"
Disposals (Note 7),(5),(556),(137),"-,(698)"
Transfers,(1),(1),-,"-,(2)"
Foreign exchange translation differences,6,96,8,"-,110"
Balance at 31/01/2022,512,"6,234",548,"-,7,294"
Impairment losses (Note 2.2-f),,,,
Balance at 01/02/2020,-,76,(1),"-,75"
Charge for the year (Note 7),-,166,7,"-,172"
Amounts charged to profit or loss (Note 7),-,(14),-,"-,(14)"
Disposals (Note 7),-,(22),(3),"-,(24)"
Transfers,-,1,-,"-,-"
Foreign exchange translation differences,-,(3),-,"-,(3)"
Balance at 31/01/2021,-,203,2,"-,206"
Balance at 01/02/2021,-,203,2,"-,206"
Charge for the year (Note 7),-,36,-,"-,36"
Amounts charged to profit or loss (Note 7),-,(68),-,"-,(68)"
Disposals (Note 7),-,(102),-,"-,(102)"
Transfers,-,4,-,"-,4"
Foreign exchange translation differences,-,3,-,"-,3"
Balance at 31/01/2022,-,76,2,"-,79"
Carrying amount,,,,
Balance at 31/01/2021,"1,793","4,996",363,"248,7,401"
Balance at 31/01/2022,"1,791","5,146",359,"185,7,481"
