Board of Directors,Audit and Compliance Committee,Nomination Committee,Remuneration Committee,Sustainability Committee
Executive Chairman: Mr Pablo Isla Álvarez de Tejera,-,-,-,-
Deputy Chairman: Mr José Arnau Sierra,Member,Member,Member,Member
Chief Executive Officer: Mr Óscar García Maceiras,-,-,-,-
Members:,-,-,-,-
Mr Amancio Ortega Gaona,-,-,-,-
PONTEGADEA INVERSIONES, S.L. (represented by Flora Pérez Marcote),-,,"-,-"
Bns. Denise Patricia Kingsmill,Member,Member,Member,Chair
Ms Anne Lange,Member,Member,-,Member
Ms Pilar López Álvarez,Chair,Member,-,Member
Mr José Luis Durán Schulz,Member,-,Member,Member
Mr Rodrigo Echenique Gordillo,Member,Member,Chair,-
Mr Emilio Saracho Rodríguez de Torres,Member,Chair,-,Member
Secretary of the Board: Mr Javier Monteoliva Díaz,Secretary, non-member,Secretary,"non-member,Secretary,non-member"
