GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,"Page number(s), URL and/or direct answer",Omissions,Omissions,ExternalAssurance,Global Compactprinciple,
,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,"160-161,462,231The employee breakdown",,,√,Principle 6,
,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,102-8 Information onemployees and otherworkers,"160-161,462,231The employee breakdown",,,Pg.143-145,Principle 6,
,,,,,,by type of contract,,,,Principle 6,
,,,,,,(permanent/temporary)and,,,,Principle 6,
,,,,,,"region is: the Americas,",,,,Principle 6,
,,,,,,90% permanent (10%,,,,Principle 6,
,,,,,,"temporary),Spain,82%permanent (18%temporary); Europe excl.",,,,Principle 6,
,,,,,,"temporary),Spain,82%permanent (18%temporary); Europe excl.",,,,Principle 6,
,,,,,,"temporary),Spain,82%permanent (18%temporary); Europe excl.",,,,Principle 6,
,,,,,,"Spain,83% permanent",,,,Principle 6,
,,,,,,(17% temporary); and Asia,,,,Principle 6,
,,,,,,"and RoW,60% permanent",,,,Principle 6,
,,,,,,(40% temporary).The,,,,Principle 6,
,,,,,,"employee breakdown bytype of working day(full/part time)by gender is:for women,42% full-time(58% part-time),and formen,52% full-time (48%part-time).",,,,Principle 6,
,102-9 Supply chain,102-9 Supply chain,102-9 Supply chain,102-9 Supply chain,102-9 Supply chain,"159-160,327-329, 511-514",,,√Pg.143-145,,
,102-10 Significantchanges to theorganization and its supplychain,102-10 Significantchanges to theorganization and its supplychain,102-10 Significantchanges to theorganization and its supplychain,102-10 Significantchanges to theorganization and its supplychain,102-10 Significantchanges to theorganization and its supplychain,"261-274,328-329",,,,,
,102-11 PrecautionaryPrinciple or approach,102-11 PrecautionaryPrinciple or approach,102-11 PrecautionaryPrinciple or approach,102-11 PrecautionaryPrinciple or approach,102-11 PrecautionaryPrinciple or approach,464-510,,,,,
,102-12 External initiatives,102-12 External initiatives,102-12 External initiatives,102-12 External initiatives,102-12 External initiatives,"174-180,181-187, 191,212-222,263-274",,,,,
,102-13 Membership ofassociations,102-13 Membership ofassociations,102-13 Membership ofassociations,102-13 Membership ofassociations,102-13 Membership ofassociations,"195,330,212-222,297-298",,,,,
STRATEGY,STRATEGY,STRATEGY,STRATEGY,STRATEGY,STRATEGY,STRATEGY,,,,,
,102-14 Statement fromsenior decision-maker,102-14 Statement fromsenior decision-maker,102-14 Statement fromsenior decision-maker,102-14 Statement fromsenior decision-maker,102-14 Statement fromsenior decision-maker,"148-149,150-152",,,,,
,"102-15 Key impacts,risks,and opportunities","102-15 Key impacts,risks,and opportunities","102-15 Key impacts,risks,and opportunities","102-15 Key impacts,risks,and opportunities","102-15 Key impacts,risks,and opportunities",468-486,,,,,
