(Amounts in millions of euros),Capital,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Equityattributable to the Parent Other,Non-,Total equity
(Amounts in millions of euros),Capital,Share premium,Retained earnings,reserves,accounted for using the equity,Reserves of companies,Treasury shares,Translation Cash flows differences,Subtotal,controlling interests,Non-,Total equity
Balance at 1 February 2020,94,20,"14,993",58,,method 214,(60),(402),(4),"14,913",36,"14,949"
Profit for the year,-,-,"1,106",,,,,-,,"1,106",2),"1,104"
Distribute results,-,-,(251) 25,190,,61,-,-,-,-,-,二
Distribute dividends,-,,（83）,,,（25）,-,- 91,-,,-,：
Transfers Othermovements,-,,（28),,：,（8） 2,-,,-,（29）,（4,(33
Argentina reexpresion,-,,,10,-,,,,,10,-,10
Other comprehensive income for the year,-,,,,-,-,-,（393),1,(392),-,(392)
Translation differencesrelated to foreign operations,-,·,,：,：,-,-,(393）,-,（393,-,（393）
·Cash flow hedges,-,,,：,：,：,：,,1,1,：,1
Operations with equity holders or owners,-,-,(1.069),,(27),-,9,：,-,(1.087),：,(1.087
·Share-based collections,-,-,,,9,-,：,-,,9,-,9
Share-based payments,,,,22,(35) -,：,9 -,： -,,5,·,5
· Dividends Balance at 31 January 2021,-,,(1.090),,221,240,(51),(704),- (3),"(1.090) 14,520",30,"(1.090) 14,550"
,94,20,"14,703",,221,,,(704),,,30,
Balanceat1February 2021,94,20,"14,703 3,243",,-,240,(51) =,-,(3),"14,520 3,243",7,"14,550 3,250"
Profit for the year,= -,-,（283）,,250,33,-,-,-,·,：,
Distribute results Distribute dividends,-,,,19,,（19),,,,,：,二
Transfers,-,,,（53),-,-,-,53,-,-,-,：
Other movements,-,,,：,- -,4,- -,- -,-,4 13,1 -,5
Argentina reexpresion,-,,,13 -,-,-,-,122,8,130,：,13 130
Other comprehensive income for theyear Translation diferences related to foreign operations,-,,,：,-,,,122,：,122,：,122
·Cash flow hedges,-,,"(2,180)",-,- 74,=,（71),- -,8,"8 (2,177)",- (12）,8
Operations with equity holders or owners ·Treasury shares,,,,-,-,,（71,-,,(71,-,"(2,189) (71)"
·Share-based collections,,,,·,74 -,,-,- -,,74 =,· -,74
·Share-based payments · Dividends Balanceat31 January2022,=,,"(2,180) 15,462",,545,258,(122),(529),5,"(2,180) 15,733",(12) 26,"： (2,192)"
