Identity of the director or representative,Company name of listed orunlisted company,Position,Paid or unpaid
Mr Amancio OrtegaGaona,Pontegadea Inversiones S.L,Chair,Paid
Mr Amancio OrtegaGaona,Pontegadea Inmobiliaria S.L,Chair,Paid
Mr Amancio OrtegaGaona,Partler 2006 S.L,Chair,Paid
Mr Amancio OrtegaGaona,Pontegadea GB2020 S.L,Chair,Paid
Mr Amancio OrtegaGaona,Partler Participaciones S.L,Chair,Unpaid
Mr Amancio OrtegaGaona,Fundacion Amancio Ortega,Chair,Unpaid
Mr Pablo Isla Alvarez deTejera,"Nestle, S.A.",Independent director,Paid
Ms Flora Pérez Marcote,Pontegadea Inversiones S.L,First Deputy Chair,Paid
Ms Flora Pérez Marcote,Pontegadea Inmobiliaria S.L,First Deputy Chair,Paid
Ms Flora Pérez Marcote,Pontegadea GB2020 S.L,First Deputy Chair,Paid
Ms Flora Pérez Marcote,Fundacion Amancio Ortega,First Deputy Chair,Unpaid
Mr José Arnau Sierra,Pontegadea Inversiones S.L,Second Deputy Chair,Paid
Mr José Arnau Sierra,"Pontegadea Inmobiliaria, S.L.U.",Second Deputy Chair,Paid
Mr José Arnau Sierra,Partler 2006 S.L,Second Deputy Chair,Paid
Mr José Arnau Sierra,Pontegadea GB2020 S.L,Second Deputy Chair,Paid
Mr José Arnau Sierra,"Pontegadea Espana, S.L.U.",Joint Director,Unpaid
Mr José Arnau Sierra,Partler Participaciones S.L.,Second Deputy Chair,Unpaid
Mr José Arnau Sierra,"Esparelle 2016, S.L.","Sole Director, legalrepresentative ofPontegadea InversionesS.L.U.",Unpaid
