Acquiring Company,Acquired Company
ITX CANADA,"LTD,MASSIMO DUTTI CANADA, INC.,ZARA HOME CANADA, INC."
INDITEX SLOVAKIA,"S.R.O.,BERSHKHA SLOVAKIA,S.R.O"
INDITEX SLOVAKIA,"S.R.O.,PULL & BEAR SLOVAKIA,S.R.O"
INDITEX SLOVAKIA,"S.R.O.,STRADIVARIUS SLOVAKIA,S.R.O"
INDITEX SLOVAKIA,"S.R.O.,MASSIMO DUTTI SLOVAKIA,S.R.O"
INDITEX SLOVAKIA,"S.R.O.,OYSHO SLOVAKIA,S.R.O"
ITX S,"D.O.O,BERSHKHA SLOVENIÈ"
ITX S,"D.O.O,MASSIMO DUTTI SLOVENIÈ"
ITX S,"D.O.O,PULL & BEAR SLOVENIÈ"
ITX S,"D.O.O,STRADIVARIUS SLOVENIIA"
DENLLO,"S.A.,SAMLOR,S.A."
GRUPO MASSIMO DUTTI,"S.A.,UTERQÜE,S.A."
GRUPO MASSIMO DUTTI,"S.A.,UTERQÜE ESPAÑA,S.A."
GRUPO MASSIMO DUTTI,"S.A.,UTERQUE DISEÑO,S.L."
ITX HELLAS SINGLE MEMBER S.A.,PULL AND BEAR HELLAS SINGLE MEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,MASSIMO DUTTI HELLAS SINGLE MEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,BERSHKHA HELLAS SINGLE MEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,STRADIVARIUS HELLAS SINGLE MEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,OYSHO HELLAS SINGLE MEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,ZARA HOME HELLAS SINGLE MEMBER S.A
ITX HELLAS SINGLE MEMBER S.A.,UTERQUE HELLAS SINGLE MEMBER S.A
ITX NEDERLAND BV,"MASSIMO DUTTI NEDERLAND, B.V.,ZARA HOME NEDERLAND, B.V.,BERSHKHA NEDERLAND, B.V.,PULL & BEAR NEDERLAND, B.V.,STRADIVARIUS NEDERLAND, B.V."
ITX RETAIL IRELAND LIMITED,"BERSHKHA IRELAND,LTD"
ITX RETAIL IRELAND LIMITED,"MASSIMO DUTTI IRELAND,LTD"
ITX RETAIL IRELAND LIMITED,PULL & BEAR IRELAND LIMITED
ITX RETAIL IRELAND LIMITED,STRADIVARIUS IRELAND LIMITED
ITX RETAIL IRELAND LIMITED,ZARA HOME IRELAND LIMITED
