Work centre,Description
"Industria de Diseño Textil, S.A.",Evacuation drill at the Laracha logistics centre
Factories,Evacuation drill
Bershka,
Indipunt,
Pull&Bear logistics,
Meco logistics platform,Event Report - New SS20 Collection
Tordera offices (all concepts),
Oysho logistics,
Indipunt,Evacuation drill
Pull&Bear logistics,Updating of Self-Protection Plan and Drill
Meco logistics platform,Updating of Self-Protection Plan
Tordera offices (the entire chain),Report on process drill
Oysho logistics,Report on process drill
