Balance at 01/02/2021\t8,350
Acquisitions\t1,422
Disposals ( Note 7)\t-533,
Transfers\t-,
Foreign exchange translation differences\t175,
Balance at 31/01/2022\t9,414
Amortisation,
Balance at 01/02/2020\t1,528
Amortisation charge for the year (Note 7)\t1,532
Disposals\t-105,
Foreign exchange translation differences\t-82,
Disposals    Transfers    Foreign exchange translation differences    Balance at 31/01/2021    2,873
Balance at 01/02/2021    2,873
Amortisation charge for the year (Note 7)    1,454
Disposals    (220),
Transfers    (4),
Foreign exchange translation differences    68,
Balance at 31/01/2022    4,171
Impairment losses,
Balance at 31/01/2022\t4,171
Balance at 01/02/2021\t,
Charge for the year (Note 7)\t16,
Amounts charged to profit or loss (Note 7)\t(2),
Transfer\t4,
Foreign exchange translation differences\t1,
Balance at 31/01/2022\t19,
Carrying amount\t,
Balance at 31/01/2021\t5,477
Balance at 31/01/2022\t5,224
