"GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance","GRI Page number(s), URL External Global CompactDisclosure Omissions principle Standard and/or direct answer Assurance"
RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES,RESPONSIBLE PURCHASING PRACTICES
GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016
,103-1 Explanation of thematerial topic and itsBoundary,103-1 Explanation of thematerial topic and itsBoundary,103-1 Explanation of thematerial topic and itsBoundary,103-1 Explanation of thematerial topic and itsBoundary,"225-227,536-539",,,,,,,,,,,
,103-2 The managementapproach and itscomponents,103-2 The managementapproach and itscomponents,103-2 The managementapproach and itscomponents,103-2 The managementapproach and itscomponents,"299-307,317,335",,,,,,,,,,,
,103-3 Evaluation of themanagementapproach,103-3 Evaluation of themanagementapproach,103-3 Evaluation of themanagementapproach,103-3 Evaluation of themanagementapproach,"159-161,335",,,,,,,,,,,
OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING,OTHER DISCLOSURES: CAPACITY BUILDING
,"AF5 Strategy and scope ofefforts to strengthencapacity of management,workers and other staff toimprove in social andenvironmentalperformance.","AF5 Strategy and scope ofefforts to strengthencapacity of management,workers and other staff toimprove in social andenvironmentalperformance.","AF5 Strategy and scope ofefforts to strengthencapacity of management,workers and other staff toimprove in social andenvironmentalperformance.","AF5 Strategy and scope ofefforts to strengthencapacity of management,workers and other staff toimprove in social andenvironmentalperformance.","245-249,317-319,371-372,374-378",,,,,,,,,,,
OTHER DISCLOSURES: BUSINESS INTEGRATION,OTHER DISCLOSURES: BUSINESS INTEGRATION,OTHER DISCLOSURES: BUSINESS INTEGRATION,,,,,,,,,,,,,,
,"AF6 Policies for supplierselection, management,and termination","AF6 Policies for supplierselection, management,and termination","AF6 Policies for supplierselection, management,and termination","AF6 Policies for supplierselection, management,and termination","327-344Inditex's Code of Conductfor Manufacturers andSuppliers stipulates the standards and requirementsto which suppliers looking toform part of Inditex's supplychain are bound.It isavailable at the corporateweb page of Inditex, Howwe do business section, Ourcommitment to people - OurSuppliers heading.",,,,,,√Pg.143-145,√Pg.143-145,,,,
