GRI Disclosure Standard,GRI Disclosure Standard,,"Page number(s), URL and/or direct answer",Omissions,External Global Compact Assurance principle
ETHICS AND INTEGRITY,ETHICS AND INTEGRITY,"102-16 Values,principles, 174-180,427-429",,,Principle 10
,"standards,and norms of behavior","Code of Conduct and Responsible Practices availableat the corporate web page of Inditex, How we do business section, Right to Wear heading.",,,
,102-17 Mechanisms for advice and concerns about ethics,430-447,,,Principle10
GOVERNANCE 102-18 Governance,GOVERNANCE 102-18 Governance,448-462 For further information about the Company's,,,
,structure,"governance structure and practices,refer to the 2021 Annual Corporate Governance Report, available at the corporate web page of Inditex, Compliance section, Corporate Governance heading.",,,
,102-19 Delegating authority,"448-462 For further information about the Company's governance structure and practices,refer to the 2021 Annual Corporate Governance Report, available at the corporate web page of Inditex, Compliance section, Corporate Governance",,,
,"102-20 Executive-level responsibility for economic,environmental, and social topics","heading. 448-462 For further information about the Company's governance structure and practices,refer to the 2021 Annual Corporate Governance Report, available at the corporate web page of Inditex, Compliance section, Corporate Governance",,,
,"102-21 Consulting stakeholders on economic, environmental,and social topics",heading. 208-211,,,
GRI Standard,"Page number(s), URLDisclosure and/or direct answer","Page number(s), URLDisclosure and/or direct answer",Omissions,External Assurance,Global Compactprinciple
,102-22 Composition ofthe highest governancebody and its committees,"450For further informationabout the Company'sgovernance structure andpractices,refer to the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,102-23 Chair of thehighest governance body,"450For further informationabout the Company'sgovernance structure andpractices,refer to the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,102-24 Nominating andselecting the highestgovernance body,"450-451For further informationabout the Company's governance structure andpractices,refer to the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,102-25 Conflicts ofinterest,"433,483-486For further informationabout therelated-partytransactions and conflictsof interest,refer to the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,"102-26 Role of highest governance body in setingpurpose,values,andstrategy","449-452For further information about the Company's governance structure andpractices,refer to the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,102-27 Collectiveknowledge of highestgovernance body,"453For further informationabout the Company's governance structure andpractices,refer to the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,102-28 Evaluating thehighest governance body'sperformance,"455-459,482-486For further informationabout the evaluation of thehighest governance body'sperformance,refer to the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,"102-29 Identifying andmanaging economic,environmental,and socialimpacts","223-227,453-456,464-467For further informationabout the identification ofimpacts,refer to the 2021Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,102-30 Effectiveness ofrisk managementprocesses,"468,482-486",,,
GRIStandard,Disclosure,"Page number(s), URL and/or direct answer",Omissions,ExternalAssurance,Global Compactprinciple
,"102-31 Review ofeconomic,environmental,",449-451For further information,,,
,and social topics,"about how the Board ofDirectors operates,refer tothe 2021 AnnualCorporate GovernanceReport,available at the corporate web page ofInditex, Compliancesection, CorporateGovernance heading.",,,
,102-32 Highestgovernance body's role insustainability reporting,The Board of Directors isthe body responsible forreviewing and authorisingthe issuance of theIntegrated Directors'Report.,,,
,102-33 Communicatingcritical concerns,"207-211,456-463For further information about the Company'scommittees and itsstakeholder engagementeffort, refer to the 2021Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
,102-34 Nature and totalnumber of criticalconcerns,"448-463For further information,refer to the 2021 AnnualCorporate GovernanceReport,available at thecorporate web page ofInditex, Compliancesection, CorporateGovernance heading.",,,
,102-35 Remunerationpolicies,"453-455,258-260For further information,refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,
