GRI Standard,Disclosure,"Page number(s), URL and/or direct answer",Omissions,External Assurance,Global Compact principle
GRI 416: CUSTOMER HEALTH AND SAFETY 2016,,,,,
416-1,Assessment of the health and safety impacts of product and service categories,"275-280, 308-319, 515-516",,√,Pg. 143-145
416-2,Incidents of non-compliance concerning the health and safety impacts of products and services,"275-280, 308-319, 515-516",,√,Pg. 143-145
OTHER DISCLOSURES: MATERIALS,,,,,
AF18,Programmes to replace organic-based adhesives and primers with water-based adhesives and primers,"322-326, 294-304, 327-330, 334",,,
AF19,"Practices to source safer alternative substances to those on the restricted substances list, including description of associated management systems","322-326, 294-304, 327-330, 334",,,
AF20,List of environmentally preferable materials used in apparel and footwear products,"322-326, 294-304, 327-330, 334",,,
CIRCULARITY,,,,,
GRI 103: MANAGEMENT APPROACH 2016,,,,,
103-1,Explanation of the material topic and its Boundary,"225-227, 536-539",,,
103-2,The management approach and its components,285-293,,,
103-3,Evaluation of the management approach,"159, 181-187, 285-293, 520-522, 322-326",,,
