"Bershka BSK Espana, S.A.","Hampton, S.A.","Oysho Logistica, S.A.","Uterque Diseno, S.L."
"Bershka Diseno, S.L.","Indipunt, S.L.","Plataforma Cabanillas, S.A.","Uterque Espana, S.A."
"Bershka Logistica, S.A.","Inditex, S.A.","Plataforma Europa, S.A.","Uterque, S.A."
"Born, S.A.","Inditex Logistica, S.A.","Plataforma Logistica Leon, S.A.","Zara Diseno, S.L."
"Choolet, S.A.","Kiddy's Class Espana,S.A.","Plataforma Logistica Meco, S.A.","Zara Espana, S.A."
"Comditel, S.A.","Lefties Espana, S.A.","Pull & Bear Diseno, S.L.","Zara Home Diseno, S.L."
"Confecciones Fios, S.A.","Lefties Logistica, S.A.","Pull & Bear Espana, S.A.","Zara Home Espana, S.A."
"Confecciones Goa, S.A.","Massimo Dutti Diseno, S.L.","Pull & Bear Logistica, S.A.","Zara Home Logistica, S.A."
"Denllo, S.A.","Massimo Dutti Logistica, S.A.Samlor, S.A.",,"Zara Logistica, S.A."
"Fashion Logistics Forwarders, S.A.","Massimo Dutti, S.A.","Stear, S.A.","Zara, S.A."
"Fashion Retail, S.A.","Nikole, S.A.","Stradivarius Diseno, S.L.","Zintura, S.A."
"Glencare, S.A.","Nikole Diseno, S.L.","Stradivarius Espana, S.A.",
"Goa-Invest, S.A.","Oysho Diseno, S.L.","Stradivarius Logistica, S.A.",
"Grupo Massimo Dutti, S.A.","Oysho Espana, S.A.","Trisko, S.A.",
