Name,Nameof Plan,Financial instrumentsat start of FY2021,Financial instrumentsat start of FY2021,Financial instrumentsgranted in FY2021,Financial instrumentsgranted in FY2021,Financial instruments vested during the year,Financial instruments vested during the year,Financial instruments vested during the year,Financial instruments vested during the year,Instrumentsmatured butnotexercised,Financial instruments atend of FY2021,Financial instruments atend of FY2021
Name,Nameof Plan,No.instruments,No.equivalentshares,No. instruments,No.equivalentshares,No.instruments,No.equivalent/vested shares,Price ofvested shares,Gross Profitfrom vested shares orfinancialinstruments(thousands ofeuros),No.instruments,No. instruments,No.equivalentshares
Mr PABLO ISLAALVAREZDETEJERA,First cycle(2019-2022) of the2019-2023Long-termIncentivePlan,"161,361","161,361",,,"112,953","112,953",21.76,"2,458","48,408",,
Mr PABLO ISLAALVAREZ DETEJERA,Secondcycle (2020-2023)of the2019-2023Long-termIncentivePlan,120.172,"120,172",,,,,,,,"120,172","120,172"
Mr PABLO ISLAALVAREZ DETEJERA,First cycle(2021-2024) of the2021-2025Long-termIncentivePlan,,,"116,568","116,568",,,,,,"116,568","116,568"
Mr CARLOSCRESPOGONZALEZ,First cycle(2019-2022) of the2019-2023Long-termIncentivePlan,"106,752","106,752",,,"70,499","70,499",21.76,"1,534","32,026",,
Mr CARLOSCRESPOGONZALEZ,Secondcycle (2020-2023)of the2019-2023Long-termIncentivePlan,"79,503","79,503",,,,,,,,"79,503","79,503"
Mr CARLOSCRESPOGONZALEZ,First cycle(2021-2024)of the2021-2025132Long-termIncentivePlan,,,"21,273","21,273",,,,,,"21,273","21,273"
Mr OSCARGARCIAMACEIRAS,First cycle(2019-2022) of the2019-2023Long-termIncentivePlan133,"2,217","2,217",,,"1,552","1,552",21.76,34,665,,
Mr OSCARGARCIAMACEIRAS,Secondcycle (2020-2023)ofthe2019-2023Long-termIncentivePlan,"61,854","61,854",,,,,,,,"61,854","61,854"
Mr OSCARGARCIAMACEIRAS,First cycle(2021-2024)of the2021-2025Long-termIncentivePlan,,,"68,562","68,562",,,,,,"68,562","68,562"
