Total contribution - Inditex,2021,2020,2019,2018,Own taxes,Taxes collected
Total contribution - Inditex,6093,4689,6749,6166,2423,3670
Total contribution - Inditex,,,,,1916,2773
Total contribution - Inditex,,,,,3040,3709
Total contribution - Inditex,,,,,2764,3402
Total contribution - Spain,1501,1201,1874,1692,780,721
Total contribution - Spain,,,,,620,581
Total contribution - Spain,,,,,1049,825
Total contribution - Spain,,,,,928,764
Total contribution - Europe (ex-Spain),3217,2562,3398,3168,794,2423
Total contribution - Europe (ex-Spain),,,,,691,1871
Total contribution - Europe (ex-Spain),,,,,1023,2375
Total contribution - Europe (ex-Spain),,,,,988,2180
Total contribution - America,910,534,943,760,592,318
Total contribution - America,,,,,357,177
Total contribution - America,,,,,623,320
Total contribution - America,,,,,489,271
Total contribution - Asia and rest of the world,465,392,534,546,257,208
Total contribution - Asia and rest of the world,,,,,248,144
Total contribution - Asia and rest of the world,,,,,345,189
Total contribution - Asia and rest of the world,,,,,359,187
