Name or social name of the Director,Type,Remuneration of Board members,Remuneration of Deputy Chairman of Board of Directors,Remuneration for serving on Comittees and other Board of Directors,Remuneration for chairing Committees,Fixed remuneration,Variable remuneration 2021,Multiannual variable remuneration (cash and shares) 2021,Total 2021
Mr Pablo Isla Alvarezde Tejera,Executive,100,,,,"3,250","4,875","4,218","12,443"
Mr José Arnau Sierra,Propietary,100,80,200,,,,,380
Mr Oscar Garcia Maceiras (1),Executive,17,,,,277,382,70,746
Mr Carlos Crespo Gonzalez (2),Executive,83,,,,"1,179","1,868","2,633","5,763"
Mr Amancio Ortega Gaona,Propietary,100,,,,,,,100
PONTEGADEA INVERSIONES S.L.(3),Propietary,100,,,,,,,100
Bns Denise Patricia Kingsmill,Independent,100,,150,50,,,,300
Ms Anne Lange,Independent,100,,150,,,,,250
Ms Pilar Lopez Alvarez,Independent,100,,150,50,,,,300
Mr Jose Luis Duran Schulz,Independent,100,,150,,,,,250
Mr Rodrigo Echenique Gordillo,Independent,100,,150,50,,,,300
Mr Emilio Saracho Rodriguez de Torres,Independent,100,,150,50,,,,300
TOTAL,,"1,100",80,"1,100",200,"4,706","7,125","6,921","21,232"
