(Amounts in millions of euros),(Notes),2021,2020
Net sales,(3),27,"716,20,402"
Cost of sales,(4),(11,"902),(9,013)"
GROSS PROFIT,,15,"814,11,390"
,,57.1%,55.8%
Operating expenses,(5),(8,"596),(6,807)"
Other losses and income, net,(6),"(35),(31)"
GROSS OPERATING PROFIT (EBITDA),,,"7,183,4,552"
,,,
Amortisation and depreciation,(7),(2,"901),(3,045)"
NET OPERATING PROFIT (EBIT),,,"4,282,1,507"
Financial results,(8),(142),(139)
Results of companies accounted for using the equity method,(17),58,33
PROFIT BEFORE TAXES,,4,"199,1,401"
Income tax,(24),(949),(297)
NET PROFIT,,3,"250,1,104"
NET PROFIT ATTRIBUTABLE TO NON-CONTROLLING INTERESTS,,7,(2)
NET PROFIT ATTRIBUTABLE TO THE PARENT,,3,"243,1,106"
EARNINGS PER SHARE, euros,(9),"1.042,0.355"
