Location of theactivity (in euros),2021,%2021,2020,%2020,2019,%2019,2018,%2018,Total 2018-2021,
Spain,"21,203,015",34%,"41,228,603",58%,"17,529,175",36%,"20,297,453",45%,"100,258,246",Managementcostsexcluded
Europe ex-Spain,"8,752,685",14%,"7,316,927",10%,"7,464,704",15%,"5,643,921",12%,"29,178,237",Managementcostsexcluded
Americas,"10,608,807",17%,"10,357,432",15%,"13,328,564",27%,"10,208,058",22%,"44,502,861",Managementcostsexcluded
Asia and rest ofthe world,"21,655,526",35%,"11,732,259",17%,"10,278,231",21%,"9,438,265",21%,"53,104,281",Managementcostsexcluded
Total,"62,220,033",100%,"70,635,222",100%,"48,600,673",100%,"45,587,697",100%,"227,043,625",
SDGS (in euros),2021,%2021,2020,%2020,2019,%2019,2018,% 2018,Total2018 -2021,
1. No poverty,"1,796,811",2.9%,"199,709",0.3%,"52,547",0.1%,"161,176",0.4%,"2,210,243",%managementcostsexcluded
2. Zero hunger,"509,079",0.8%,"171,091",0.2%,"399,582",0.8%,"163,364",0.4%,"1,243,116",%managementcostsexcluded
3. Good healthand well-being,"9,223,912",14.8%,"28,371,255",40.2%,"7,375,925",15.2%,"7,260,232",15.9%,"52,231,324",%managementcostsexcluded
4. Qualityeducation,"3,810,370",6.1%,"4,958,119",7.0%,"5,405,862",11.1%,"5,824,809",12.8%,"19,999,160",%managementcostsexcluded
5. Gender Equality,"2,980,153",4.8%,"3,422,346",4.8%,"2,581,715",5.3%,"1,687,518",3.7%,"10,671,732",%managementcostsexcluded
6. Clean water andsanitation,"1,032,230",1.7%,"1,396,363",2.0%,"952,531",2.0%,"785,861",1.7%,"4,166,985",%managementcostsexcluded
7. Affordable andclean energy,"464,644",0.7%,"30,684",0.0%,"20,000",0.0%,"20,000",0.0%,"535,328",%managementcostsexcluded
8.Decent workand economicgrowth,"5,869,853",9.4%,"7,259,969",10.3%,"7,859,961",16.2%,"8,334,396",18.3%,"29,324,179",%managementcostsexcluded
"9.Industry,innovation andinfrastructure","844,244",1.4%,"397,752",0.6%,"1,884,953",3.9%,"446,410",1.0%,"3,573,359",%managementcostsexcluded
10. Reducedinequalities,"19,973,638",32.1%,"12,901,353",18.3%,"9,870,828",20.3%,"9,294,145",20.4%,"52,039,964",%managementcostsexcluded
11.Sustainablecities andcommunities,"842,896",1.4%,"793,168",1.1%,"1,243,389",2.6%,"1,206,475",2.6%,"4,085,928",%managementcostsexcluded
12.Responsibleconsumption and_production,"12,863,973",20.7%,"9,729,241",13.8%,"8,818,385",18.1%,"7,745,279",17.0%,"39,156,878",%managementcostsexcluded
13. Climate action,"519,761",0.8%,"115,627",0.2%,"88,294",0.2%,"89,427",0.2%,"813,109",%managementcostsexcluded
14.Life belowwater,"204,690",0.3%,"160,416",0.2%,"270,429",0.6%,"378,437",0.8%,"1,013,972",%managementcostsexcluded
15. Life on land,"824,001",1.3%,"250,000",0.4%,"289,465",0.6%,"379,806",0.8%,"1,743,272",%managementcostsexcluded
"16.Peace, justiceand stronginstitutions","89,652",0.1%,"346,048",0.5%,"621,561",1.3%,"608,050",1.3%,"1,665,311",%managementcostsexcluded
17.Partnershipsfor the goals,"370,126",0.6%,"132,080",0.2%,"865,247",1.8%,"1,202,312",2.6%,"2,569,765",%managementcostsexcluded
Total,"62,220,033",100%,"70,635,222",100%,"48,600,673",100%,"45,587,697",100%,"227,043,625",%managementcostsexcluded
