GRI Standard,Disclosure,"Page number(s), URL and/or direct answer",Omissions,External Assurance,Global Compact principle
GRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016,,,,,
407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"194, 339, 315-355, 427-429","Inditex's Code of Code of Conduct and Responsible Practices specifically addresses the right to freedom of association and collective bargaining. That Code applies to all of the Group's operations. The Code of Conduct for Manufacturers and Suppliers, which applies to all of the Group's suppliers, also enshrines this right. The programme for supervising compliance with Inditex's Code of Conduct for Manufacturers and Suppliers assesses compliance with workers' right to freedom of association.",Principle 3,,
OTHER DISCLOSURES: EMPLOYMENT,,,,,
AF22 Policy and practices regarding the use of employees with non-permanent and non-fulltime,251-253,,,,
AF23 Policy regarding the use of home working,240-242,,,,
OTHER DISCLOSURES: LABOUR/MANAGEMENT RELATIONS,,,,,
AF29 Percentage of workplaces where there is one or more independent trade union(s),254-257,44% of Inditex's workplaces have trade union representation.,,,
"AF30 Percentage of workplaces where, in the absence of a trade union, there are worker-management committees, broken down by country.",The Group does not participate in worker-management committees in the absence of a trade union.,,,,
OTHER DISCLOSURES: WAGES AND HOURS,,,,,
AF25 Policy and practices on wage deductions that are not mandated by law,Inditex does not apply wage deductions that are not mandated by law.,,,,
