Name,Position,Directorship type
Mr Pablo Isla Alvarez de Tejera,Chair,Executive
Mr José Arnau Sierra,Deputy chair,Proprietary
Mr Amancio Ortega Gaona,Ordinary member,Proprietary
Mr Oscar Garcia Maceiras,Ordinary member,Executive
Ms Pilar Lopez Alvarez,Ordinary member,Independent
Mr José Luis Duran Schulz,Ordinary member,Independent
Mr Rodrigo Echenique Gordillo,Ordinary member,Independent
Mr Emilio Saracho Rodriguez deTorres,Ordinary member,Independent
% executive directors,% executive directors,25%
% proprietary directors,% proprietary directors,25%
% independent directors,% independent directors,50%
% affiliate directors,% affiliate directors,0%
