GRI Disclosure Standard,GRI Disclosure Standard,"Page number(s), URL and/or direct answer",Omissions,External Assurance,Global Compact principle
GRI 101: FOUNDATION 2016,GRI 101: FOUNDATION 2016,,,,
GENERAL DISCLOSURES,GENERAL DISCLOSURES,,,,
GRI 102: GENERAL DISCLOSURES 2016,GRI 102: GENERAL DISCLOSURES 2016,,,,
ORGANIZATIONAL PROFILE,ORGANIZATIONAL PROFILE,"Industria de Diseno Textil,",,,
,"102-1 Name of the organization 102-2 Activities,brands,",S.A. 165-172,,,
,"products,and services 102-3 Location of",Avenida de la Diputacion,,,
,headquarters,"s/n Edificio Inditex,Arteixo,A Coruna,Spain",,,
,102-4 Location of operations 102-5 Ownership and legal form,"115-120 159-161,175-176,448- 449",,,
,,"For further information about the Company's governance structure and practices,refer to the 2021 Annual Corporate Governance Report, available at the corporate web page of Inditex, Compliance section, Corporate Governance",,,
,102-6 Markets served,heading.,,,
,102-7 Scale of the,"115-120 156-157, 159-161",,,
,organization,,,,
