Mr PABLO ISLA ALVAREZ DE TEJERA\t12,443\t111%\t5,885\t-5%\t6,209\t-35%\t9,489\t-11%\t10,690
Total amounts accrued and annual variation,,,,,
Financial year 2021 Percentage variation 2021/2020 Financial year 2020 Percentage variation 2020/2019 Financial year 2019 Percentage variation 2019/2018 Financial year 2018 Percentage variation 2018/2017 Financial year 2017,,,,,
Executive Directors,,,,,
Mr PABLO ISLA ALVAREZ DE TEJERA 12,443 111% 5,885 -5% 6,209 -35% 9,489 -11% 10,690
Mr ÓSCAR GARCÍA MACEIRAS\t746\t-\t-\t-\t-\t-\t-\t-\t-,,,,,
Mr CARLOS CRESPO GONZÁLEZ\t5,763\t108%\t2,770\t115%\t1,290\t-\t-\t-\t-,,
Non-executive Directors,,,,,
Mr AMANCIO ORTEGA GAONA\t100\t0%\t100\t0%\t100\t0%\t100\t0%\t100,,,,,
Mr JOSÉ ARNAU SIERRA\t380\t0%\t380\t15%\t330\t0%\t330\t0%\t330,,,,,
PONTEGADEA INVERSIONES,\t100\t0%\t100\t0%\t100\t0%\t100\t0%\t100,,,,
S.L. (REPRESENTED BY MS.\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,,
GORDILLO,,,,,
Ms PILAR LÓPEZ ÁLVAREZ 300 8% 277 11% 250 87% 134,,,,,
Mr EMILIO SARACHO RODRÍGUEZ DE TORRES 300 0% 300 0% 300 0% 300 0% 300,,,,,
Ms ANNE LANGE 250 0% 250 762% 29,,,,,
Consolidated results of the company (€ million) 4,199 200% 1,401 -70% 4,681 6% 4,428 2% 4,351
Average employee remuneration (€ thousand) 23 27% 18 -15% 22 6% 20% 3% 20%,,,,,
