Name or social name of the Director,Type,Remuneration of Board members,Remuneration of Deputy Chairman of Board of Directors,Remuneration for serving on Committees and other Board of Directors,Remuneration for chairing Committees,Fixed remuneration,Variable remuneration 2020,Multiannual variable remuneration (cash and shares) 2020,Total 2020
Mr Pablo Isla Álvarez de Tejera,Executive,100,-,-,"3,250","2,535",-,"5,885",
Mr José Arnau Sierra,Proprietary,100,80,200,-,-,-,380,
Mr Carlos Crespo Gonzalez,Executive,100,-,-,"1,500","1,170",-,"2,770",
Mr Carlos Crespo Gonzalez,Executive,100,-,-,"1,500","1,170",-,"2,770",
Mr Amancio Ortega Gaona,Proprietary,100,-,-,-,-,-,100,
PONTEGADEA INVERSIONES S.L. (1),Proprietary,100,-,-,-,-,-,100,
Bns Denise Patricia Kingsmill,Independent,100,-,150,50,-,-,300,
Ms Anne Lange,Independent,100,-,150,-,-,-,250,
Ms Pilar López Álvarez,Independent,100,-,150,27,-,-,277,
Mr José Luis Durán Schulz,Independent,100,-,150,23,-,-,273,
Mr Rodrigo Echenique Gordillo,Independent,100,-,150,50,-,-,300,
Mr Emilio Saracho Rodríguez de Torres,Independent,100,-,150,50,-,-,300,
TOTAL,,"1,100",80,"1,100",200,"4,750","3,705",,"10,935"
