Information requested by Act 11/2018,Materiality,SNFI page where response is given,Reporting criteria: GRI (2016 version unless otherwise indicated)
GENERAL INFORMATION,,,
"A brief description of the business model that includes its business environment, its organisation and structure",Material,"156-161, 165-172, 174-180",GRI 102-2 GRI 102-7
Markets in which it operates,Material,"154, 174-180",GRI 102-3 GRI 102-4 GRI 102-6
Organisation's objectives and strategies,Material,"148-149, 151-152, 174-187, 190-191, 196, 287, 345, 456-457",GRI 103-2 GRI 102-14
Main factors and trends that may affect its future development,Material,"148-149, 151-152, 174-187, 261-262, 274, 468",GRI 102-14 GRI 102-15
Reporting framework used,Material,532-536,GRI 102-54
Materiality principle,Material,223-227,GRI 102-46 GRI 102-47
ENVIRONMENTAL ISSUES,,,
"Management approach: description and results of policies relating to these issues, as well as the main risks related to these issues related to the group's activities",Material,"174-190, 285-293, 305-307, 320-330",GRI 102-15 GRI 103-2
Detailed general information,,,
"Detailed information on the current and foreseeable effects of the company's activities on the environment and, where applicable, health and safety",Material,"377-378, 387, 391-394",GRI 102-15
Environmental assessment or certification procedures,Material,"305-307, 377-386",GRI 103-2
Resources dedicated to the prevention of environmental risks,Material,382-386,GRI 103-2
