Name or company name of director,Representative,Directorship type,Position on the board,Date first appointed to the board,Date of last appointment,Election procedure
Mr Pablo Isla Álvarez de Tejera,,Executive,Executive Chairman,09/06/2005,16/07/2019,AGM
Mr Óscar García Maceiras González,,Executive,CEO,29/11/2021,29/11/2021,Board of Directors Co-option
Mr Amancio Ortega Gaona,,Proprietary,Ordinary member,12/06/1985,16/07/2019,AGM
Mr José Arnau Sierra,,Proprietary,Deputy Chairman,12/06/2012,13/07/2021,AGM
"PONTEGADEA INVERSIONES, S.L.",Flora Pérez Marcote,Proprietary,Ordinary member,09/12/2015,14/07/2020,AGM
Bns Denise Patricia Kingsmill,,Independent,Ordinary member,19/07/2016,14/07/2020,AGM
Ms Anne Lange,,Independent,Ordinary member,10/12/2019,14/07/2020,AGM
Ms Pilar López Álvarez,,Independent,Ordinary member,17/07/2018,17/07/2018,AGM
Mr José Luis Durán Schulz,,Independent,Ordinary member,14/07/2015,16/07/2019,AGM
Mr Rodrigo Echenique Gordillo,,Independent,Lead Independent Director,15/07/2014,17/07/2018,AGM
Mr Emilio Saracho Rodríguez de Torres,,Independent,Ordinary member,13/07/2010,16/07/2019,AGM
